feature_id	perturbation_id	effect_estimate
SU_1	P1	1.5878293226765783
SU_2	P1	1.6064199026264285
SU_3	P1	1.483604502797842
SU_4	P1	1.4319754239805855
SU_5	P1	1.590883118376059
SU_6	P1	1.2273066048444408
SU_7	P1	1.5945147826602586
SU_8	P1	1.4585723842162177
SU_9	P1	1.4573760384084944
SU_10	P1	1.3621016996288808
SU_11	P1	1.4825628290471997
SU_12	P1	1.7725968065556326
SU_13	P1	1.5555941796386932
SU_14	P1	1.5780324686332436
SU_15	P1	1.3874202008246503
SU_16	P1	1.6225349759280874
SU_17	P1	1.367046371813518
SU_18	P1	1.4502633615086171
SU_19	P1	1.6681068977504334
SU_20	P1	1.544808554890094
SU_21	P1	1.6169432886832986
SU_22	P1	1.7183677623715294
SU_23	P1	1.4033507356153048
SU_24	P1	1.267029389215547
SU_25	P1	1.2603435724955532
SU_26	P1	1.7707646278216236
SU_27	P1	1.4277528954458045
SU_28	P1	1.5930569701947634
SU_29	P1	1.5918185238976275
SU_30	P1	1.475653353462281
SU_31	P1	1.6217809767830789
SU_32	P1	1.8295250319521301
SU_33	P1	1.807378550610929
SU_34	P1	1.74486684592207
SU_35	P1	1.5381406789221082
SU_36	P1	1.573678241890884
SU_37	P1	1.4513870131894324
SU_38	P1	1.2506924634212049
SU_39	P1	1.765160077630945
SU_40	P1	1.5038701572971713
SU_41	P1	1.6692766250385267
SU_42	P1	1.1429462907904437
SU_43	P1	1.3409601671771203
SU_44	P1	1.640571081027436
SU_45	P1	1.628167758049583
SU_46	P1	1.7191094104656133
SU_47	P1	1.2880351833166208
SU_48	P1	1.5851104880136722
SU_49	P1	1.5874781480153528
SU_50	P1	1.3039801749803364
SU_51	P1	1.4189420889206843
SU_52	P1	1.7921538997098059
SU_53	P1	1.508038540553618
SU_54	P1	1.5527494260832855
SU_55	P1	1.3993535191509094
SU_56	P1	1.5416930542209215
SU_57	P1	1.6036756909312326
SU_58	P1	1.623569299305913
SU_59	P1	1.8217597530720435
SU_60	P1	1.1479584032454941
SU_61	P1	1.5224387970922812
SU_62	P1	1.2986202777405684
SU_63	P1	1.5829954613255848
SU_64	P1	1.7384944264043114
SU_65	P1	1.411968060841935
SU_66	P1	1.22514340406859
SU_67	P1	1.6332209148978027
SU_68	P1	1.739023270853441
SU_69	P1	1.577528200599358
SU_70	P1	1.3056492479557764
SU_71	P1	1.5081923362994063
SU_72	P1	1.3823025940212683
SU_73	P1	1.34259707715656
SU_74	P1	1.8495767943607067
SU_75	P1	1.7104058074301147
SU_76	P1	1.6413901276037288
SU_77	P1	1.6239387430728645
SU_78	P1	1.3782689264713377
SU_79	P1	1.571437242113048
SU_80	P1	1.6531887611221638
SU_81	P1	1.5968074611309115
SU_82	P1	1.656471532732716
SU_83	P1	1.4543446330959509
SU_84	P1	1.8715666375444455
SU_85	P1	1.6456831009556168
SU_86	P1	1.780064877685008
SU_87	P1	1.600806370352218
SU_88	P1	1.4538069928743993
SU_89	P1	1.580478557506631
SU_90	P1	1.6237305098027512
SU_91	P1	1.3554147781479298
SU_92	P1	1.3717376233350314
SU_93	P1	1.7830420413038492
SU_94	P1	1.4412270942007226
SU_95	P1	1.3529050576575021
SU_96	P1	1.6030998150835563
SU_97	P1	1.4242434723718655
SU_98	P1	1.8236579724759623
SU_99	P1	1.4100303654262747
SU_100	P1	1.3958179960093873
SU_101	P1	1.5335888111281932
SU_102	P1	1.326566500463884
SU_103	P1	1.5633627791680498
SU_104	P1	1.301286711622661
SU_105	P1	1.5211626469290427
SU_106	P1	1.419592800226358
SU_107	P1	1.4532590873132778
SU_108	P1	1.7334164463901884
SU_109	P1	1.4327950063058295
SU_110	P1	1.548168530624095
SU_111	P1	1.3154741629679716
SU_112	P1	1.301391196176877
SU_113	P1	1.6891863411582444
SU_114	P1	1.6978847579463503
SU_115	P1	1.4878869357947948
SU_116	P1	1.4242365290592762
SU_117	P1	1.4921769610004514
SU_118	P1	1.5943290937662655
SU_119	P1	1.8270003596227256
SU_120	P1	1.4896474040221175
SU_121	P1	1.7317295403056394
SU_122	P1	1.6982178025743946
SU_123	P1	1.5483227363044203
SU_124	P1	1.7296432679602738
SU_125	P1	1.4368140459992138
SU_126	P1	1.3261768465772794
SU_127	P1	1.2231947565867798
SU_128	P1	1.673598793058572
SU_129	P1	1.1814675178477865
SU_130	P1	1.3205952722833754
SU_131	P1	1.746328798615101
SU_132	P1	1.6325482249743022
SU_133	P1	1.5787313836553876
SU_134	P1	1.3223011401553841
SU_135	P1	1.8983682408214193
SU_136	P1	1.3428129434672533
SU_137	P1	1.3483316214571444
SU_138	P1	1.60033824787715
SU_139	P1	1.519376594051429
SU_140	P1	1.4366134699419728
SU_141	P1	1.328960378272781
SU_142	P1	1.305942706495119
SU_143	P1	1.410795184639366
SU_144	P1	1.2748778879668743
SU_145	P1	1.5023783539598339
SU_146	P1	1.5810254351538329
SU_147	P1	1.2679062049431453
SU_148	P1	1.6274479394892658
SU_149	P1	1.6344019776498675
SU_150	P1	1.5208036495214594
SU_151	P1	1.2571007516450792
SU_152	P1	1.5822596884521605
SU_153	P1	1.5292923230716877
SU_154	P1	1.3790253007854794
SU_155	P1	1.483706364718931
SU_156	P1	1.462358006422153
SU_157	P1	1.754902000279977
SU_158	P1	1.4483551805602546
SU_159	P1	1.510165809210633
SU_160	P1	1.4024145409718913
SU_161	P1	1.426854222719537
SU_162	P1	1.5454726855886494
SU_163	P1	1.463703897055612
SU_164	P1	1.4277399648747153
SU_165	P1	1.3512295703614912
SU_166	P1	1.4579026291793356
SU_167	P1	1.5949526016270257
SU_168	P1	1.3140272485338211
SU_169	P1	1.764647110349148
SU_170	P1	1.4964480167770489
SU_171	P1	1.529988072574115
SU_172	P1	1.7020789166460015
SU_173	P1	1.5054110231699547
SU_174	P1	1.6236871695850101
SU_175	P1	1.244599222259097
SU_176	P1	1.5721425232901522
SU_177	P1	1.8725325133989381
SU_178	P1	1.5602047481258408
SU_179	P1	1.5322765756120567
SU_180	P1	1.22764314706458
SU_181	P1	1.3632390863650685
SU_182	P1	1.4926432963719567
SU_183	P1	1.439191878497728
SU_184	P1	1.669557269677028
SU_185	P1	1.622319710260886
SU_186	P1	1.5114626278572214
SU_187	P1	1.7180621026874594
SU_188	P1	1.5561181625154392
SU_189	P1	1.4743643916371139
SU_190	P1	1.4246680782224237
SU_191	P1	1.581528316191095
SU_192	P1	1.4242220995722565
SU_193	P1	1.618019368410302
SU_194	P1	1.5451424102412663
SU_195	P1	1.6965335860121056
SU_196	P1	1.619765065540817
SU_197	P1	1.6276290656421653
SU_198	P1	1.4334648047857965
SU_199	P1	1.4329837818585631
SU_200	P1	1.5019957562664226
SU_201	P1	1.284578144065939
SU_202	P1	1.4056110529105799
SU_203	P1	1.536528264843801
SU_204	P1	1.6587543350018967
SU_205	P1	1.6247023226872543
SU_206	P1	1.51578177239285
SU_207	P1	1.2387430358313969
SU_208	P1	1.5967870490647837
SU_209	P1	1.514565633701412
SU_210	P1	1.4884899458192733
SU_211	P1	1.648792601655262
SU_212	P1	1.3711123858126348
SU_213	P1	1.4577630467513392
SU_214	P1	1.8099370906036067
SU_215	P1	1.4082670533274955
SU_216	P1	1.5473419236997228
SU_217	P1	1.5990440067217238
SU_218	P1	1.241669638928233
SU_219	P1	1.1798060927477068
SU_220	P1	1.51034183972055
SU_221	P1	1.630173261387165
SU_222	P1	1.1564933730811868
SU_223	P1	1.477471456768752
SU_224	P1	1.4596827310813438
SU_225	P1	1.7686998061720964
SU_226	P1	1.6008402062547136
SU_227	P1	1.4686048295554899
SU_228	P1	1.5018273759186558
SU_229	P1	1.7301175296576592
SU_230	P1	1.511593772461071
SU_231	P1	1.511765629912339
SU_232	P1	1.3831108394355456
SU_233	P1	1.5249839503097804
SU_234	P1	1.5397986854662125
SU_235	P1	1.6336171064430403
SU_236	P1	1.4298167445800232
SU_237	P1	1.6137561835210277
SU_238	P1	1.4037395463345088
SU_239	P1	1.5941507734871143
SU_240	P1	1.5372495190234472
SU_241	P1	1.394988627491369
SU_242	P1	1.4148897622321224
SU_243	P1	1.4607909111165818
SU_244	P1	1.3404172446320124
SU_245	P1	1.4840447019016874
SU_246	P1	1.6156655609513377
SU_247	P1	1.912110531337309
SU_248	P1	1.487409786438628
SU_249	P1	1.5815351451375426
SU_250	P1	1.6129291815953084
SU_251	P1	1.3786988808513196
SU_252	P1	1.6501679771086089
SU_253	P1	1.5684078756948925
SU_254	P1	1.2848624538853388
SU_255	P1	1.4602042775582886
SU_256	P1	1.596265374546261
SU_257	P1	1.4377468456932636
SU_258	P1	1.4310636485664092
SU_259	P1	1.3811258976421072
SU_260	P1	1.3262191299786923
SU_261	P1	1.6066334997672655
SU_262	P1	1.6901402628357354
SU_263	P1	1.4785273416374043
SU_264	P1	1.4227456640485205
SU_265	P1	1.7224336776462288
SU_266	P1	1.4756116635110597
SU_267	P1	1.5062563761603474
SU_268	P1	1.5724559844208295
SU_269	P1	1.32298092391082
SU_270	P1	1.4004639391285811
SU_271	P1	1.4048025158680404
SU_272	P1	1.394705545283116
SU_273	P1	1.5865275568306973
SU_274	P1	1.1830379443911343
SU_275	P1	1.5391364524012123
SU_276	P1	1.6720690785434478
SU_277	P1	1.5022190472834303
SU_278	P1	1.4532391134147065
SU_279	P1	1.3565705837843764
SU_280	P1	1.5710120637811065
SU_281	P1	1.2729203880484152
SU_282	P1	1.5246421496505882
SU_283	P1	1.3693702172151971
SU_284	P1	1.7389993491474878
SU_285	P1	1.5969896284187672
SU_286	P1	1.5536054527773966
SU_287	P1	1.515358959479947
SU_288	P1	1.3987099762207424
SU_289	P1	1.6458127535609137
SU_290	P1	1.6133804893874135
SU_291	P1	1.4357571565399285
SU_292	P1	1.3929112854427312
SU_293	P1	1.4714423901649176
SU_294	P1	1.559979721757436
SU_295	P1	1.3533232628243768
SU_296	P1	1.5275605364323648
SU_297	P1	1.177453420538439
SU_298	P1	1.4065550211381146
SU_299	P1	1.3851841026344813
SU_300	P1	1.5696464128175918
SU_301	P1	1.578342325278725
SU_302	P1	1.5014690639898505
SU_303	P1	1.4339210705695637
SU_304	P1	1.6799234301752104
SU_305	P1	1.4823797266025365
SU_306	P1	1.5057314681070866
SU_307	P1	1.6792208448556931
SU_308	P1	1.5515937528154358
SU_309	P1	1.4506390538302518
SU_310	P1	1.7506286875288497
SU_311	P1	1.3622912695771776
SU_312	P1	1.4868289007044029
SU_313	P1	1.6980440579752112
SU_314	P1	1.7596179195747337
SU_315	P1	1.8243894116815143
SU_316	P1	1.4526401281001136
SU_317	P1	1.4137355843644972
SU_318	P1	1.289046534660317
SU_319	P1	1.8401789780338054
SU_320	P1	1.3843719106543984
SU_321	P1	1.5570473545491588
SU_322	P1	1.5907705159132448
SU_323	P1	1.6529511205226375
SU_324	P1	1.5712414566222326
SU_325	P1	1.172108033983112
SU_326	P1	1.639978825046273
SU_327	P1	1.571315313184909
SU_328	P1	1.5585422400042603
SU_329	P1	1.3909007773735218
SU_330	P1	1.6479833922114888
SU_331	P1	1.7135975398005105
SU_332	P1	1.5727095766800507
SU_333	P1	1.552385466890164
SU_334	P1	1.6290186374424287
SU_335	P1	1.5606916716912078
SU_336	P1	1.5550567382099292
SU_337	P1	1.2721201425738036
SU_338	P1	1.732470499796802
SU_339	P1	1.5749821598501499
SU_340	P1	1.5691309277298557
SU_341	P1	1.8115064899916158
SU_342	P1	1.453852415162549
SU_343	P1	1.6428556327767407
SU_344	P1	1.5799182439590085
SU_345	P1	1.485667843743703
SU_346	P1	1.4786904932351825
SU_347	P1	1.322546143353248
SU_348	P1	1.5817977614301615
SU_349	P1	1.1127216836128866
SU_350	P1	1.616835004580403
SU_351	P1	1.5439410454055782
SU_352	P1	1.4869938141977397
SU_353	P1	1.2800460756809648
SU_354	P1	1.3375230826896303
SU_355	P1	1.6586606050689783
SU_356	P1	1.4459518799165365
SU_357	P1	1.5525890647523086
SU_358	P1	1.5042386484290038
SU_359	P1	1.5709572391535243
SU_360	P1	1.3621267908492036
SU_361	P1	1.4436264845490683
SU_362	P1	1.2280749353531664
SU_363	P1	1.5432900316657445
SU_364	P1	1.4715566128084345
SU_365	P1	1.502679031981702
SU_366	P1	1.5975645363639197
SU_367	P1	1.5465382478131773
SU_368	P1	1.750253575338583
SU_369	P1	1.600892180041652
SU_370	P1	1.458372301796079
SU_371	P1	1.4780960412070745
SU_372	P1	1.7552147747513922
SU_373	P1	1.5707036820856568
SU_374	P1	1.5872550117860462
SU_375	P1	1.5999031044015477
SU_376	P1	1.3831646662261619
SU_377	P1	1.6744987271738045
SU_378	P1	1.2053183707199477
SU_379	P1	1.615375600239001
SU_380	P1	1.8389657990115262
SU_381	P1	1.4284091562925478
SU_382	P1	1.484612923680615
SU_383	P1	1.5553044264234686
SU_384	P1	1.4196850509026169
SU_385	P1	1.5759902911972838
SU_386	P1	1.4774164353615322
SU_387	P1	1.6356365334302236
SU_388	P1	1.8363054206200824
SU_389	P1	1.3207315664070693
SU_390	P1	1.4372216150862982
SU_391	P1	1.6197377092048433
SU_392	P1	1.574725824508797
SU_393	P1	1.5179340335056786
SU_394	P1	1.4449195921133187
SU_395	P1	1.5393496627222318
SU_396	P1	1.5394056187236504
SU_397	P1	1.5961108316989958
SU_398	P1	1.5460634746157886
SU_399	P1	1.4950305898834875
SU_400	P1	1.293787420976171
SU_401	P1	1.5941947669689338
SU_402	P1	1.5003215926397666
SU_403	P1	1.5426566584066206
SU_404	P1	1.3497331370671368
SU_405	P1	1.4074167107048956
SU_406	P1	1.624229135919431
SU_407	P1	1.4872772031488533
SU_408	P1	1.4347920124595812
SU_409	P1	1.319274706634893
SU_410	P1	1.346896968011984
SU_411	P1	1.3543156195558914
SU_412	P1	1.4758629956734743
SU_413	P1	1.6807030552219524
SU_414	P1	1.5100119324990249
SU_415	P1	1.3676313474519681
SU_416	P1	1.4970120393029398
SU_417	P1	1.5492024720035742
SU_418	P1	1.3604057074959892
SU_419	P1	1.3302877547836327
SU_420	P1	1.6629345583497908
SU_421	P1	1.577136315333458
SU_422	P1	1.5439752571138814
SU_423	P1	1.4156017754307995
SU_424	P1	1.5310714085644475
SU_425	P1	1.6842116186110951
SU_426	P1	1.4354981146043804
SU_427	P1	1.6997862527590715
SU_428	P1	1.3855099265891249
SU_429	P1	1.684847824734104
SU_430	P1	1.5913587994388887
SU_431	P1	1.3766189874188226
SU_432	P1	1.4928527465291055
SU_433	P1	1.5256017016048125
SU_434	P1	1.3162393010847027
SU_435	P1	1.5580999326311438
SU_436	P1	1.5736001665460837
SU_437	P1	1.8358689126181618
SU_438	P1	1.6338318463443693
SU_439	P1	1.6198398875599425
SU_440	P1	1.7903164153320164
SU_441	P1	1.5591374849447968
SU_442	P1	1.594878224155754
SU_443	P1	1.5153886653719675
SU_444	P1	1.651531649733842
SU_445	P1	1.6822017577898536
SU_446	P1	1.5751305987462105
SU_447	P1	1.3635798073620233
SU_448	P1	1.1704187232027239
SU_449	P1	1.5657817983255855
SU_450	P1	1.34558777544887
SU_451	P1	1.606961715590182
SU_452	P1	1.6542402808679442
SU_453	P1	1.4144050911872141
SU_454	P1	1.4348986977239813
SU_455	P1	1.6507976197152392
SU_456	P1	1.6805317224046392
SU_457	P1	1.7244274045434653
SU_458	P1	1.4765102351689359
SU_459	P1	1.3595954220408186
SU_460	P1	1.5528807969267748
SU_461	P1	1.3070717030168886
SU_462	P1	1.4591215717395243
SU_463	P1	1.5235372255366648
SU_464	P1	1.367728069764738
SU_465	P1	1.4817153261959801
SU_466	P1	1.3717123991064752
SU_467	P1	1.349140689750484
SU_468	P1	1.3629071413760365
SU_469	P1	1.1882649510927514
SU_470	P1	1.4789029314554991
SU_471	P1	1.6949456474829896
SU_472	P1	1.4955946825208688
SU_473	P1	1.1645067243544973
SU_474	P1	1.5817545099697192
SU_475	P1	1.6246263078657994
SU_476	P1	1.425363128534869
SU_477	P1	1.4098458893615613
SU_478	P1	1.4231703278875114
SU_479	P1	1.4992601430363977
SU_480	P1	1.4854278130936294
SU_481	P1	1.4963946904086733
SU_482	P1	1.480891449357851
SU_483	P1	1.480217156945542
SU_484	P1	1.5680613383188813
SU_485	P1	1.2890496248461973
SU_486	P1	1.5316396180429954
SU_487	P1	1.6128504134231962
SU_488	P1	1.5207569320109764
SU_489	P1	1.5239520018549504
SU_490	P1	1.5342652977345579
SU_491	P1	1.3255824424779892
SU_492	P1	1.6281987779110192
SU_493	P1	1.4636856182113502
SU_494	P1	1.1976006866458615
SU_495	P1	1.465846426004284
SU_496	P1	1.5336254748925462
SU_497	P1	1.389476261756614
SU_498	P1	1.3729933889189645
SU_499	P1	1.4832811709675342
SU_500	P1	1.4532597515452106
SU_501	P1	1.2869514212263786
SU_502	P1	1.1299592029708538
SU_503	P1	1.5727073753221703
SU_504	P1	1.3593041533853643
SU_505	P1	1.9996099958355686
SU_506	P1	1.4755581805021514
SU_507	P1	1.5330683677201287
SU_508	P1	1.6314316217519
SU_509	P1	1.1776555572127014
SU_510	P1	1.4649372970854138
SU_511	P1	1.2002260731173284
SU_512	P1	1.3147829400648046
SU_513	P1	1.626945557651791
SU_514	P1	1.493025777278737
SU_515	P1	1.5605464147889305
SU_516	P1	1.6151181990621004
SU_517	P1	1.6300652252916912
SU_518	P1	1.311812827650747
SU_519	P1	1.4763303015505451
SU_520	P1	1.4231524830453275
SU_521	P1	1.5619531302599325
SU_522	P1	1.584638439142117
SU_523	P1	1.6089098928151149
SU_524	P1	1.437734667726264
SU_525	P1	1.5062422950248116
SU_526	P1	1.5336438075772993
SU_527	P1	1.6179613710621883
SU_528	P1	1.4364955744150434
SU_529	P1	1.444869906517432
SU_530	P1	1.2349469541103562
SU_531	P1	1.4724693186185016
SU_532	P1	1.6252307995917394
SU_533	P1	1.411919923325679
SU_534	P1	1.4461601396120654
SU_535	P1	1.8171193254119198
SU_536	P1	1.5968116578577976
SU_537	P1	1.45315200665544
SU_538	P1	1.677817242428869
SU_539	P1	1.5830698445916411
SU_540	P1	1.4919369091922958
SU_541	P1	1.8191194552288241
SU_542	P1	1.4718440280833662
SU_543	P1	1.5148136767409
SU_544	P1	1.7865567224042225
SU_545	P1	1.743218357341111
SU_546	P1	1.8139601992203298
SU_547	P1	1.3961646108099577
SU_548	P1	1.15692028337003
SU_549	P1	1.2516597487694279
SU_550	P1	1.5854264126872757
SU_551	P1	1.429316612003655
SU_552	P1	1.495018548393857
SU_553	P1	1.5566050601640777
SU_554	P1	1.6736577001092787
SU_555	P1	1.7097974999439882
SU_556	P1	1.817775589595919
SU_557	P1	1.3368810195738021
SU_558	P1	1.6824050079950472
SU_559	P1	1.6015837956947385
SU_560	P1	1.3910434638528697
SU_561	P1	1.5169265912502792
SU_562	P1	1.5097820362172494
SU_563	P1	1.4054059183371257
SU_564	P1	1.5778283194149194
SU_565	P1	1.3795583250215508
SU_566	P1	1.3977565198037427
SU_567	P1	1.4944255917219773
SU_568	P1	1.4569088527160585
SU_569	P1	1.3460959248980835
SU_570	P1	1.7097538776898666
SU_571	P1	1.6255035368710247
SU_572	P1	1.4505155604273376
SU_573	P1	1.580220338419641
SU_574	P1	1.3189120216060104
SU_575	P1	1.5943150972572524
SU_576	P1	1.5864247099206161
SU_577	P1	1.6854335818634565
SU_578	P1	1.5713309456968756
SU_579	P1	1.2679278767414615
SU_580	P1	1.5083203196834436
SU_581	P1	1.6020093136405165
SU_582	P1	1.2974697645310307
SU_583	P1	1.5367653666731051
SU_584	P1	1.4538977196071985
SU_585	P1	1.609704684980617
SU_586	P1	1.5302072709085421
SU_587	P1	1.2636805750696591
SU_588	P1	1.5035308166158898
SU_589	P1	1.6202461666544061
SU_590	P1	1.1166558937931819
SU_591	P1	1.4209633978576277
SU_592	P1	1.3030711664047305
SU_593	P1	1.6201292019492801
SU_594	P1	1.6069651155788127
SU_595	P1	1.6547872293880361
SU_596	P1	1.7522712746926343
SU_597	P1	1.4660534406162022
SU_598	P1	1.4703106452176193
SU_599	P1	1.6565553378481868
SU_600	P1	1.4337393978607527
SU_601	P1	1.254505635402063
SU_602	P1	1.5317343889847792
SU_603	P1	1.430275240733626
SU_604	P1	1.4006464182065743
SU_605	P1	1.4800569604281595
SU_606	P1	1.301744743573313
