condition	stability_level	dominant_state	fsf_signal_class	gene_set_id	GO_theme	GO_theme_secondary	n_GO_themes	best_GO_FDR	representative_GO_terms	n_genes	n_annotated	annotated_fraction	significant_GO_terms_FDR005
des	highly_stable	constant	highly_stable_constant	des__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization;Unclassified / manual review	3	2.2743411504734276e-13	GO:0043231;GO:0043227;GO:0044424;GO:0005622;GO:0006396;GO:0043226;GO:0043229;GO:0043412;GO:0016070;GO:0005623|GO:0005634;GO:0005654|GO:1902494;GO:1990234	7439	6489	0.872294663261191	213
des	highly_stable	down	highly_stable_down	des__highly_stable__down__highly_stable_down	Translation / ribosome	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion;Metabolism / oxidation-reduction;Unclassified / manual review	5	1.0379653535700615e-53	GO:0022626;GO:0002181;GO:0003735;GO:0005840;GO:0022625;GO:0022627;GO:0006412;GO:0043043|GO:0044391;GO:0006518;GO:0005198;GO:0000184;GO:0043603;GO:0015934;GO:0090150;GO:0006413;GO:0044445;GO:0043604|GO:0072599;GO:0045047;GO:0006614;GO:0006613;GO:0070972;GO:0006612|GO:0016491;GO:0055114|GO:1901566;GO:1901361	1233	1110	0.9002433090024331	322
des	highly_stable	up	highly_stable_up	des__highly_stable__up__highly_stable_up	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization;Genome maintenance / DNA repair;Cell cycle / cell division;Unclassified / manual review	5	6.427831611270929e-9	GO:0008061;GO:0060293;GO:0043186;GO:0033391;GO:0045495;GO:0044770;GO:0071103;GO:0004568;GO:0006032;GO:0044772|GO:0051276;GO:0005694;GO:0044427;GO:0000228;GO:0044454;GO:0098813|GO:0006259;GO:0006260|GO:0022402;GO:0007049;GO:0000280;GO:0048285;GO:0140013;GO:0051321;GO:1903047;GO:1903046;GO:0000278;GO:0000075|GO:2000113;GO:1990023;GO:1901072	678	619	0.9129793510324484	171
des	instable	mixed	instable	des__instable__mixed__instable	Development / morphogenesis	Development / morphogenesis;Movement / behavior / taxis;Neural / projection organization;Unclassified / manual review;Cell adhesion / junction	6	0.0027733453703001	GO:0035239;GO:0002009;GO:0001501;GO:0060541;GO:0048729;GO:0060562;GO:0048598;GO:0009887|GO:0040011;GO:0008038;GO:0008045;GO:0006935;GO:0050920|GO:0007411;GO:0097485;GO:0061564|GO:1902667;GO:2000243|GO:0007156;GO:0005912;GO:0098609;GO:0007155	5837	5249	0.8992633201987322	45
gam	highly_stable	constant	highly_stable_constant	gam__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process	1	0.00293749201744444	GO:0009063;GO:0006733	5447	4841	0.8887460987699651	2
gam	highly_stable	down	highly_stable_down	gam__highly_stable__down__highly_stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process	1	0.0016592510266604	GO:0005615;GO:0005576;GO:0005775;GO:0019730;GO:0043202	377	318	0.843501326259947	5
gam	highly_stable	up	highly_stable_up	gam__highly_stable__up__highly_stable_up	Genome maintenance / DNA repair	Genome maintenance / DNA repair;Broad regulatory / cellular process;Unclassified / manual review	3	9.136943639434187e-4	GO:0006281;GO:0006273;GO:0006974;GO:0006271;GO:0000724;GO:0000726|GO:0003910;GO:0003909;GO:0006302;GO:0016886;GO:0006266;GO:0022616;GO:0070212;GO:0005524;GO:0016887;GO:0042623|GO:0140097;GO:1990404	45	42	0.9333333333333332	29
gam	instable	constant	instable	gam__instable__constant__instable	Broad regulatory / cellular process	Broad regulatory / cellular process	1	0.00226568613497886	GO:0005576;GO:0008061;GO:0008237;GO:0004222	70	63	0.9	4
gam	instable	down	instable	gam__instable__down__instable	No significant GO enrichment	NA	0	NA	NA	40	33	0.825	0
gam	instable	mixed	instable	gam__instable__mixed__instable	No significant GO enrichment	NA	0	NA	NA	958	842	0.8789144050104384	0
gam	instable	up	instable	gam__instable__up__instable	No significant GO enrichment	NA	0	NA	NA	17	14	0.8235294117647058	0
gam	stable	constant	stable_constant	gam__stable__constant__stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Unclassified / manual review	2	0.00163185035792398	GO:0005216;GO:0005244;GO:0022832;GO:0022843;GO:0019233;GO:0022838;GO:0022803;GO:0071805;GO:0015267;GO:0005249|GO:1902495	3720	3319	0.8922043010752688	22
gam	stable	down	stable_down	gam__stable__down__stable_down	Translation / ribosome	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion;Unclassified / manual review	4	5.890725469124389e-43	GO:0022626;GO:0003735;GO:0002181;GO:0005840;GO:0022625;GO:0006412;GO:0022627;GO:0043043|GO:0044391;GO:0006518;GO:0005198;GO:0015934;GO:0044445;GO:0015935;GO:0043603;GO:0000184;GO:0006413;GO:0006605|GO:0045047;GO:0006614;GO:0072599;GO:0006613;GO:0070972;GO:0006612|GO:1990904	1378	1189	0.862844702467344	185
gam	stable	up	stable_up	gam__stable__up__stable_up	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization;Cell cycle / cell division	3	9.594153225129878e-71	GO:0050789;GO:0065007;GO:0050794;GO:0005488;GO:0016043;GO:0071840;GO:0060255;GO:0005622;GO:0044424;GO:0005575|GO:0005634;GO:0005654;GO:0051276|GO:0007049	1029	941	0.914480077745384	2981
gam	weakly_stable_transitional	constant	weakly_stable_transitional_constant	gam__weakly_stable_transitional__constant__weakly_stable_transitional_constant	No significant GO enrichment	NA	0	NA	NA	1125	1009	0.8968888888888888	0
gam	weakly_stable_transitional	down	weakly_stable_transitional_down	gam__weakly_stable_transitional__down__weakly_stable_transitional_down	No significant GO enrichment	NA	0	NA	NA	622	536	0.8617363344051447	0
gam	weakly_stable_transitional	up	weakly_stable_transitional_up	gam__weakly_stable_transitional__up__weakly_stable_transitional_up	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization	2	2.6121374814967717e-8	GO:0050789;GO:0065007;GO:0050794;GO:0016043;GO:0071840;GO:0005515;GO:0005488;GO:0044428;GO:0048523;GO:0031981|GO:0005634;GO:0005694;GO:0005654;GO:0044427	359	320	0.8913649025069638	283
ht	highly_stable	constant	highly_stable_constant	ht__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Chromosome / nuclear organization;Cell cycle / cell division;Unclassified / manual review	4	4.122711142290256e-4	GO:0007059;GO:0045132;GO:0007127;GO:0030261;GO:0005813;GO:0032991;GO:0061982;GO:0005815;GO:0032543;GO:0005761|GO:0098813|GO:0007049;GO:1903047;GO:0022402;GO:0000278;GO:0000280;GO:0048285;GO:0000070;GO:0051321;GO:0140013|GO:0140014	10233	8918	0.8714941854783543	22
ht	highly_stable	down	highly_stable_down	ht__highly_stable__down__highly_stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Unclassified / manual review	3	1.929230761893465e-32	GO:0005576;GO:0005615;GO:0044421;GO:0017144;GO:0098800;GO:0008061;GO:0006119;GO:0016054;GO:0046395;GO:0004252|GO:0044281;GO:0016491;GO:0006082;GO:0043436;GO:0055114;GO:0019752|GO:1990204;GO:1901605	2564	2344	0.9141965678627144	424
ht	highly_stable	up	highly_stable_up	ht__highly_stable__up__highly_stable_up	Chromosome / nuclear organization	Chromosome / nuclear organization;Broad regulatory / cellular process;Unclassified / manual review	3	3.0029198735630077e-15	GO:0005634;GO:0005654|GO:0044428;GO:0051252;GO:0019219;GO:0031981;GO:0031323;GO:0019222;GO:0090304;GO:0080090;GO:0060255;GO:0010556|GO:2001141;GO:1903506;GO:2000112	2390	2205	0.9225941422594144	600
lt	highly_stable	constant	highly_stable_constant	lt__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Translation / ribosome	2	0.00141766573612537	GO:0005740;GO:0031966;GO:0044429;GO:0005739;GO:0019866;GO:0044445;GO:0004930;GO:0005743;GO:0070647;GO:0044391|GO:0003735	13850	12236	0.8834657039711191	11
lt	highly_stable	down	highly_stable_down	lt__highly_stable__down__highly_stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process	1	0.04891155304733414	GO:0000722;GO:0006312;GO:0030684	84	75	0.8928571428571429	3
lt	highly_stable	up	highly_stable_up	lt__highly_stable__up__highly_stable_up	Broad regulatory / cellular process	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Unclassified / manual review	3	0.00755377062191592	GO:0004497;GO:0016705;GO:0009308;GO:0009713;GO:0042423;GO:0046189;GO:0009822;GO:0046333;GO:0042737;GO:0004500|GO:0016491|GO:1901617	42	40	0.9523809523809524	30
lt	instable	mixed	instable	lt__instable__mixed__instable	Broad regulatory / cellular process	Broad regulatory / cellular process	1	1.101891278595038e-4	GO:0005576;GO:0005730;GO:0008061;GO:0030684;GO:0006805;GO:0005615;GO:0071013;GO:0005604;GO:0000405;GO:0004222	1211	1116	0.921552436003303	11
osm	highly_stable	constant	highly_stable_constant	osm__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Cell cycle / cell division;Chromosome / nuclear organization;Unclassified / manual review	5	1.399694401359235e-7	GO:0044424;GO:0005622;GO:0044446;GO:0009987;GO:0043229;GO:0005623;GO:0044464;GO:0044422;GO:0043226;GO:0044444|GO:0071704;GO:0044238|GO:0022402;GO:0007049;GO:0000278|GO:0005634|GO:1901360;GO:1902494	14746	13078	0.8868845788688458	70
osm	highly_stable	down	highly_stable_down	osm__highly_stable__down__highly_stable_down	No significant GO enrichment	NA	0	NA	NA	238	213	0.8949579831932774	0
osm	highly_stable	up	highly_stable_up	osm__highly_stable__up__highly_stable_up	No significant GO enrichment	NA	0	NA	NA	203	176	0.8669950738916257	0
uv	highly_stable	constant	highly_stable_constant	uv__highly_stable__constant__highly_stable_constant	Broad regulatory / cellular process	Broad regulatory / cellular process;Unclassified / manual review	2	1.695030086180461e-7	GO:0005829;GO:0044444;GO:0044446;GO:0008565;GO:0030120;GO:0005765;GO:0098852;GO:0005737;GO:0030125;GO:0032991|GO:1902494	2133	1917	0.8987341772151899	34
uv	highly_stable	down	highly_stable_down	uv__highly_stable__down__highly_stable_down	Broad regulatory / cellular process	Broad regulatory / cellular process	1	1.9046487560551452e-6	GO:0008061;GO:0004252	117	108	0.9230769230769232	2
uv	highly_stable	up	highly_stable_up	uv__highly_stable__up__highly_stable_up	No significant GO enrichment	NA	0	NA	NA	141	127	0.900709219858156	0
uv	instable	constant	instable	uv__instable__constant__instable	No significant GO enrichment	NA	0	NA	NA	2783	2446	0.8789076536112109	0
uv	instable	down	instable	uv__instable__down__instable	No significant GO enrichment	NA	0	NA	NA	787	676	0.8589580686149937	0
