condition	signal_architecture_type	stability_level	dominant_state	fsf_signal_class	gene_set_id	n_genes	n_annotated	annotated_fraction	final_biological_theme	evidence_priority	GO_theme	KEGG_theme	significant_GO_terms_FDR005	significant_KEGG_terms_FDR005	best_GO_FDR	best_KEGG_FDR	representative_GO_terms	representative_KEGG_terms	final_interpretation	GO_theme_secondary	KEGG_theme_secondary	biological_support	manuscript_interpretation
des	Mixed stable-instabile architecture	highly_stable	down	highly_stable_down	des__highly_stable__down__highly_stable_down	1233	1110	0.9002433090024331	Translation / protein targeting	high	Translation / ribosome	Translation / ribosome	322	58	1.0379653535700615e-53	1.8622970342621425e-46	GO:0022626;GO:0002181;GO:0003735;GO:0005840;GO:0022625;GO:0022627;GO:0006412;GO:0043043|GO:0044391;GO:0006518;GO:0005198;GO:0000184;GO:0043603;GO:0015934;GO:0090150;GO:0006413;GO:0044445;GO:0043604|GO:0072599;GO:0045047;GO:0006614;GO:0006613;GO:0070972;GO:0006612|GO:0016491;GO:0055114|GO:1901566;GO:1901361	ko03010;map03010|ko00190;map00190;ko01100;map01100|ko05204;map05204|K04097;K01016;K01025;K00799;K13963;K20526;K04565;K13907;K08752;K08756	DES highly_stable / down / highly_stable_down is assigned to Translation / protein targeting based on combined GO and KEGG evidence. Support level: high.	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion;Metabolism / oxidation-reduction;Unclassified / manual review	Translation / ribosome	GO_and_KEGG_supported	des class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: Translation / ribosome. KEGG theme: Translation / ribosome.
des	Mixed stable-instabile architecture	highly_stable	constant	highly_stable_constant	des__highly_stable__constant__highly_stable_constant	7439	6489	0.872294663261191	Broad cellular regulation	high	Broad regulatory / cellular process	Other KEGG / manual review	213	18	2.2743411504734276e-13	4.861368806529406e-6	GO:0043231;GO:0043227;GO:0044424;GO:0005622;GO:0006396;GO:0043226;GO:0043229;GO:0043412;GO:0016070;GO:0005623|GO:0005634;GO:0005654|GO:1902494;GO:1990234	ko04138;map04138;ko00970;map00970;ko04140;map04140;ko05169;map05169;ko03040;map03040|ko03050;map03050|ko03420;map03420	DES highly_stable / constant / highly_stable_constant is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: high.	Broad regulatory / cellular process;Chromosome / nuclear organization;Unclassified / manual review	Other KEGG / manual review	GO_and_KEGG_supported	des class highly_stable / constant / highly_stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
des	Mixed stable-instabile architecture	highly_stable	up	highly_stable_up	des__highly_stable__up__highly_stable_up	678	619	0.9129793510324484	Cell cycle / division	high	Broad regulatory / cellular process	Cell cycle regulation	171	27	6.427831611270929e-9	4.0137202974821883e-07	GO:0008061;GO:0060293;GO:0043186;GO:0033391;GO:0045495;GO:0044770;GO:0071103;GO:0004568;GO:0006032;GO:0044772|GO:0051276;GO:0005694;GO:0044427;GO:0000228;GO:0044454;GO:0098813|GO:0006259;GO:0006260|GO:0022402;GO:0007049;GO:0000280;GO:0048285;GO:0140013;GO:0051321;GO:1903047;GO:1903046;GO:0000278;GO:0000075|GO:2000113;GO:1990023;GO:1901072	ko04110;map04110;ko04111;map04111;ko04113;map04113|ko03030;map03030|K01427;K18753;K07763;K11275;K09640;K07994;K03514;K11423;K12374;K15308|ko04668;map04668	DES highly_stable / up / highly_stable_up is assigned to Cell cycle / division based on combined GO and KEGG evidence. Support level: high.	Broad regulatory / cellular process;Chromosome / nuclear organization;Genome maintenance / DNA repair;Cell cycle / cell division;Unclassified / manual review	Cell cycle regulation	GO_and_KEGG_supported	des class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Cell cycle regulation.
des	Mixed stable-instabile architecture	instable	mixed	instable	des__instable__mixed__instable	5837	5249	0.8992633201987322	Cell adhesion / extracellular interaction	moderate	Development / morphogenesis	Cell adhesion / extracellular interaction	45	2	0.0027733453703001	0.044312372626188	GO:0035239;GO:0002009;GO:0001501;GO:0060541;GO:0048729;GO:0060562;GO:0048598;GO:0009887|GO:0040011;GO:0008038;GO:0008045;GO:0006935;GO:0050920|GO:0007411;GO:0097485;GO:0061564|GO:1902667;GO:2000243|GO:0007156;GO:0005912;GO:0098609;GO:0007155	ko04512;map04512	DES instable / mixed / instable is assigned to Cell adhesion / extracellular interaction based on combined GO and KEGG evidence. Support level: moderate.	Development / morphogenesis;Movement / behavior / taxis;Neural / projection organization;Unclassified / manual review;Cell adhesion / junction	Cell adhesion / extracellular interaction	GO_and_KEGG_supported	des class instable / mixed / instable shows a signal-class-specific biological profile. GO theme: Development / morphogenesis. KEGG theme: Cell adhesion / extracellular interaction.
gam	Multi-layer signal architecture	stable	up	stable_up	gam__stable__up__stable_up	1029	941	0.914480077745384	Broad cellular regulation	high	Broad regulatory / cellular process	Broad proliferation / regulatory pathway	2981	49	9.594153225129878e-71	8.924220897396149e-7	GO:0050789;GO:0065007;GO:0050794;GO:0005488;GO:0016043;GO:0071840;GO:0060255;GO:0005622;GO:0044424;GO:0005575|GO:0005634;GO:0005654;GO:0051276|GO:0007049	ko05206;map05206|ko04111;map04111;ko04110;map04110;ko04113;map04113|K05665;K05666;K05667|ko04013;map04013;ko04630;map04630|K05032;K18408;ko02010;map02010;ko03013;map03013;ko01523;map01523	GAM stable / up / stable_up is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: high.	Broad regulatory / cellular process;Chromosome / nuclear organization;Cell cycle / cell division	Broad proliferation / regulatory pathway	GO_and_KEGG_supported	gam class stable / up / stable_up shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Broad proliferation / regulatory pathway.
gam	Multi-layer signal architecture	stable	down	stable_down	gam__stable__down__stable_down	1378	1189	0.862844702467344	Translation / protein targeting	high	Translation / ribosome	Translation / ribosome	185	17	5.890725469124389e-43	4.842535884814185e-41	GO:0022626;GO:0003735;GO:0002181;GO:0005840;GO:0022625;GO:0006412;GO:0022627;GO:0043043|GO:0044391;GO:0006518;GO:0005198;GO:0015934;GO:0044445;GO:0015935;GO:0043603;GO:0000184;GO:0006413;GO:0006605|GO:0045047;GO:0006614;GO:0072599;GO:0006613;GO:0070972;GO:0006612|GO:1990904	ko03010;map03010|ko00190;map00190|K04565;ko05012;map05012;ko05016;map05016;ko05010;map05010;ko04260;map04260;ko05020|ko04932;map04932	GAM stable / down / stable_down is assigned to Translation / protein targeting based on combined GO and KEGG evidence. Support level: high.	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion;Unclassified / manual review	Translation / ribosome	GO_and_KEGG_supported	gam class stable / down / stable_down shows a signal-class-specific biological profile. GO theme: Translation / ribosome. KEGG theme: Translation / ribosome.
gam	Multi-layer signal architecture	weakly_stable_transitional	up	weakly_stable_transitional_up	gam__weakly_stable_transitional__up__weakly_stable_transitional_up	359	320	0.8913649025069638	Weak / nonspecific enrichment	moderate	Broad regulatory / cellular process	No significant KEGG enrichment	283	0	2.6121374814967717e-8	NA	GO:0050789;GO:0065007;GO:0050794;GO:0016043;GO:0071840;GO:0005515;GO:0005488;GO:0044428;GO:0048523;GO:0031981|GO:0005634;GO:0005694;GO:0005654;GO:0044427		GAM weakly_stable_transitional / up / weakly_stable_transitional_up is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Chromosome / nuclear organization	NA	GO_supported	gam class weakly_stable_transitional / up / weakly_stable_transitional_up shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: No significant KEGG enrichment.
gam	Multi-layer signal architecture	highly_stable	down	highly_stable_down	gam__highly_stable__down__highly_stable_down	377	318	0.843501326259947	Broad cellular regulation	moderate	Broad regulatory / cellular process	Broad proliferation / regulatory pathway	5	110	0.0016592510266604	6.171205930309471e-4	GO:0005615;GO:0005576;GO:0005775;GO:0019730;GO:0043202	ko05218;map05218;ko05224;map05224;ko05210;map05210;ko05226;map05226;ko05200;map05200|K04362;K05093;K05096;K05098;K00474;K04448;K17349;K00471;K01074;K01317|ko04974;map04974;ko04979;map04979|ko04151;map04151;ko04010;map04010|ko04510;map04510	GAM highly_stable / down / highly_stable_down is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Broad proliferation / regulatory pathway	GO_and_KEGG_supported	gam class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Broad proliferation / regulatory pathway.
gam	Multi-layer signal architecture	highly_stable	up	highly_stable_up	gam__highly_stable__up__highly_stable_up	45	42	0.9333333333333332	Genome maintenance / nuclear regulation	moderate	Genome maintenance / DNA repair	Genome maintenance / DNA repair	29	35	9.136943639434187e-4	0.00438659245280176	GO:0006281;GO:0006273;GO:0006974;GO:0006271;GO:0000724;GO:0000726|GO:0003910;GO:0003909;GO:0006302;GO:0016886;GO:0006266;GO:0022616;GO:0070212;GO:0005524;GO:0016887;GO:0042623|GO:0140097;GO:1990404	K10798;K10747;K10875;K10885;ko03410;map03410|K01946;K04494;K06642;K10380;K10413;K10593;K10691;K13811;K14401;K14437|K05641;K05645;K05643	GAM highly_stable / up / highly_stable_up is assigned to Genome maintenance / nuclear regulation based on combined GO and KEGG evidence. Support level: moderate.	Genome maintenance / DNA repair;Broad regulatory / cellular process;Unclassified / manual review	Genome maintenance / DNA repair	GO_and_KEGG_supported	gam class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: Genome maintenance / DNA repair. KEGG theme: Genome maintenance / DNA repair.
gam	Multi-layer signal architecture	instable	constant	instable	gam__instable__constant__instable	70	63	0.9	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	4	50	0.00226568613497886	0.00701689330527231	GO:0005576;GO:0008061;GO:0008237;GO:0004222	K09057;K08076;K03211;K04819;K09428;K01325;K03933;K06240;K09062;K09632|ko04711;map04711	GAM instable / constant / instable is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Other KEGG / manual review	GO_and_KEGG_supported	gam class instable / constant / instable shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
