feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation	is_des	is_uv	is_gam	is_lt	is_ht	is_osm	instability_category
RvY_03745-1	1	gam	0.8363095238095238	0.1636904761904762	0.625	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_06773-1	1	gam	0.8363095238095238	0.1636904761904762	0.625	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_03859-1	1	gam	0.8482142857142857	0.15178571428571427	0.625	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_00126-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_00304-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01207-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01277	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01287-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01363-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01455	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01463-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01529-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01660-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_01753	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_02390	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_02709-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_02786-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_03154-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_03237-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
RvY_03247-1	1	gam	0.8571428571428572	0.14285714285714285	0.5	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	gam_specific_instable
