feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation	is_des	is_uv	is_gam	is_lt	is_ht	is_osm	instability_category
RvY_03078-1	2	gam;uv	0.8005952380952381	0.1994047619047619	0.625	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_11467-1	2	gam;uv	0.8005952380952381	0.1994047619047619	0.625	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_15008-1	2	gam;uv	0.8005952380952381	0.1994047619047619	0.625	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_02762	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_09643-1	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_09943	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_10923	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_10973-1	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_10993-1	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_11667-1	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_16913	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_17574-1	2	gam;uv	0.8095238095238095	0.1904761904761905	0.6428571428571428	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_01375	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_02024	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_02218-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_03239-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_03397-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_03557-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_03641-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_03909	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_04808-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_05237-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_05781-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_06888-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_06981	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
RvY_07714-1	2	gam;uv	0.8214285714285714	0.17857142857142858	0.5714285714285714	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	uv_gam_shared_instable
