condition	feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
gam	RvY_00468-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_02061-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_03078-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_03092-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_03745-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_03859-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_04544-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_04545	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_04898-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_05550	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_06258-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_06771-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_06773-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_08182	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_08329-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_09536-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_11467-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_12632	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_12637-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_12749-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_13652-1	8	0.375	0.375	0.25	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_15008-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_15678	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_15912-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_16071-1	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_16131-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_16167-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_16639-1	8	0.25	0.375	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_17139-4	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_17692	8	0.375	0.25	0.375	mixed	0.375	0.625	instable	instable_no_stable_identity	instable
gam	RvY_00001-1	8	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00023	8	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00060-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00078-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00095-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00099-1	8	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00111-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00126-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00132-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00165-1	8	0.125	0.375	0.5	constant	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00170-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00171-1	8	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00172	8	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00252	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00257	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00304-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00315-1	8	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
gam	RvY_00323-1	8	0.125	0.5	0.375	down	0.5	0.5	instable	instable_no_stable_identity	instable
