condition_a	condition_b	n_overlap	n_a	n_b	jaccard
des	des	5837	5837	5837	1
gam	des	456	1085	5837	0.07052273430250541
ht	des	0	0	5837	0
lt	des	486	1211	5837	0.07406278573605608
osm	des	0	0	5837	0
uv	des	2165	5399	5837	0.23867269319810386
des	gam	456	5837	1085	0.07052273430250541
gam	gam	1085	1085	1085	1
ht	gam	0	0	1085	0
lt	gam	122	1211	1085	0.05611775528978841
osm	gam	0	0	1085	0
uv	gam	453	5399	1085	0.0751119217376886
des	ht	0	5837	0	0
gam	ht	0	1085	0	0
ht	ht	0	0	0	NA
lt	ht	0	1211	0	0
osm	ht	0	0	0	NA
uv	ht	0	5399	0	0
des	lt	486	5837	1211	0.07406278573605608
gam	lt	122	1085	1211	0.05611775528978841
ht	lt	0	0	1211	0
lt	lt	1211	1211	1211	1
osm	lt	0	0	1211	0
uv	lt	514	5399	1211	0.08431758530183726
des	osm	0	5837	0	0
gam	osm	0	1085	0	0
ht	osm	0	0	0	NA
lt	osm	0	1211	0	0
osm	osm	0	0	0	NA
uv	osm	0	5399	0	0
des	uv	2165	5837	5399	0.23867269319810386
gam	uv	453	1085	5399	0.0751119217376886
ht	uv	0	0	5399	0
lt	uv	514	1211	5399	0.08431758530183726
osm	uv	0	0	5399	0
uv	uv	5399	5399	5399	1
