condition	feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
lt	RvY_00035-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00046-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00074	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00098-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00170-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00192	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00203-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00237-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00290-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00303-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00326-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00329	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00370-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00400-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00405	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00408-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00409-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00417-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00431	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00456-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00462-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00479-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00496-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
lt	RvY_00497-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
