decision_id	condition	FSF_region	candidate_theme	GO_support	KEGG_support	cross_source_support	GO_redundancy_group_count	strongest_GO_adjusted_p	strongest_KEGG_adjusted_p	evidence_status	historical_relation	within_condition_distinctiveness	supporting_term_examples	conflicting_or_ambiguous_evidence	recommended_action_options	review_priority	trace_key	author_decision	author_notes
AUTHOR_BIO_THEME_0001	DES	Low Stability	Broad regulatory and signaling processes	3 terms / 2 redundancy groups	0 terms	NO	2	0.00424042062331471		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:1902667:regulation of axon guidance; GO:GO:0050920:regulation of chemotaxis; GO:GO:2000243:positive regulation of reproductive process	Broad candidate definition; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	DES|Low Stability|Broad regulatory and signaling processes		
AUTHOR_BIO_THEME_0002	DES	Low Stability	Cell adhesion and extracellular organization	5 terms / 3 redundancy groups	0 terms	NO	3	0.00756541905991628		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0007156:homophilic cell-cell adhesion; GO:GO:0098609:cell-cell adhesion; GO:GO:0044421:obsolete extracellular region part; GO:GO:0031012:extracellular matrix; GO:GO:0007155:cell adhesion	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	DES|Low Stability|Cell adhesion and extracellular organization		
AUTHOR_BIO_THEME_0003	DES	Low Stability	Cytoskeleton and cell motility	1 terms / 1 redundancy groups	0 terms	NO	1	0.0421315033934876		GO_SUPPORTED	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0048870:cell motility	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	DES|Low Stability|Cytoskeleton and cell motility		
AUTHOR_BIO_THEME_0004	DES	Low Stability	Development and morphogenesis	21 terms / 7 redundancy groups	0 terms	NO	7	0.00277334537030011		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0035239:tube morphogenesis; GO:GO:0002009:morphogenesis of an epithelium; GO:GO:0000904:obsolete cell morphogenesis involved in differentiation; GO:GO:0001501:skeletal system development; GO:GO:0060541:respiratory system development	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	DES|Low Stability|Development and morphogenesis		
AUTHOR_BIO_THEME_0005	DES	Low Stability	Energy and core metabolism	1 terms / 1 redundancy groups	0 terms	NO	1	0.0101218735540943		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0060541:respiratory system development	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	DES|Low Stability|Energy and core metabolism		
AUTHOR_BIO_THEME_0006	DES	Low Stability	Neural, projection and behavior processes	9 terms / 6 redundancy groups	0 terms	NO	6	0.00277334537030011		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0007411:axon guidance; GO:GO:0097485:neuron projection guidance; GO:GO:0008038:neuron recognition; GO:GO:1902667:regulation of axon guidance; GO:GO:0008045:motor neuron axon guidance	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	DES|Low Stability|Neural, projection and behavior processes		
AUTHOR_BIO_THEME_0007	DES	Highly Stable	Broad regulatory and signaling processes	105 terms / 28 redundancy groups	2 terms	YES	28	1.34004707696337e-06	0.0464257293643566	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0050794:regulation of cellular process; GO:GO:0031323:obsolete regulation of cellular metabolic process; GO:GO:0050789:regulation of biological process; GO:GO:0080090:regulation of primary metabolic process; GO:GO:0019222:regulation of metabolic process	Obsolete GO term evidence present; Broad candidate definition; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Broad regulatory and signaling processes		
AUTHOR_BIO_THEME_0008	DES	Highly Stable	Cell adhesion and extracellular organization	4 terms / 4 redundancy groups	2 terms	YES	4	2.67047231512069e-06	0.0490821365450946	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0005576:extracellular region; GO:GO:0005615:obsolete extracellular space; GO:GO:0044421:obsolete extracellular region part; GO:GO:0005576:extracellular region; GO:GO:0031012:extracellular matrix	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Cell adhesion and extracellular organization		
AUTHOR_BIO_THEME_0009	DES	Highly Stable	Cell cycle and division	52 terms / 4 redundancy groups	6 terms	YES	4	2.26058131144338e-06	4.01372029748219e-07	STRONG_MULTI_SOURCE_SUPPORT	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	KEGG:ko04110:Cell cycle; KEGG:map04110:Cell cycle; GO:GO:0022402:cell cycle process; GO:GO:0007049:cell cycle; KEGG:ko04111:Cell cycle - yeast	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Cell cycle and division		
AUTHOR_BIO_THEME_0010	DES	Highly Stable	Chromosome and nuclear organization	30 terms / 9 redundancy groups	2 terms	YES	9	1.44818038558643e-08	0.0490821365450946	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0051276:chromosome organization; GO:GO:0005694:chromosome; GO:GO:0044427:obsolete chromosomal part; GO:GO:0000228:nuclear chromosome; GO:GO:0044454:obsolete nuclear chromosome part	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Chromosome and nuclear organization		
