evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_00001	DES	Low Stability	GO	GO:0007411	axon guidance	biological_process	0.00277334537030011	1.37475820195233	45	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00002	DES	Low Stability	GO	GO:0035239	tube morphogenesis	biological_process	0.00277334537030011	1.23405377131149	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00003	DES	Low Stability	GO	GO:0040011	locomotion	biological_process	0.00277334537030011	1.1847180975648	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00004	DES	Low Stability	GO	GO:0097485	neuron projection guidance	biological_process	0.00277334537030011	1.36135551572506	45	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00005	DES	Low Stability	GO	GO:0008038	neuron recognition	biological_process	0.00315606613085656	1.60351971804153	45	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00006	DES	Low Stability	GO	GO:1902667	regulation of axon guidance	biological_process	0.00424042062331471	1.89633636220564	45	mapped	H10;H13	Broad regulatory and signaling processes; Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00007	DES	Low Stability	GO	GO:0008045	motor neuron axon guidance	biological_process	0.00432984502230212	1.69886413370887	45	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00008	DES	Low Stability	GO	GO:0002009	morphogenesis of an epithelium	biological_process	0.00448751610300904	1.21627201668165	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00009	DES	Low Stability	GO	GO:0006935	chemotaxis	biological_process	0.00473915475397605	1.27131070022306	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00010	DES	Low Stability	GO	GO:0007156	homophilic cell-cell adhesion	biological_process	0.00756541905991628	1.81103403449397	45	mapped	H08	Cell adhesion and extracellular organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00011	DES	Low Stability	GO	GO:0000904	obsolete cell morphogenesis involved in differentiation	biological_process	0.00870758959557905	1.2302226143406	45	obsolete	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00012	DES	Low Stability	GO	GO:0001501	skeletal system development	biological_process	0.00870758959557905	1.34770528831506	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00013	DES	Low Stability	GO	GO:0060541	respiratory system development	biological_process	0.0101218735540943	1.29397069421091	45	mapped	H06;H09	Development and morphogenesis; Energy and core metabolism	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00014	DES	Low Stability	GO	GO:0048729	tissue morphogenesis	biological_process	0.011618134931756	1.1942858630718	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00015	DES	Low Stability	GO	GO:0060562	epithelial tube morphogenesis	biological_process	0.0117377871619887	1.23169787829832	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00016	DES	Low Stability	GO	GO:0042330	taxis	biological_process	0.0148962261670389	1.23416607440482	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00017	DES	Low Stability	GO	GO:0005912	adherens junction	cellular_component	0.0149122143823473	1.43675366736521	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00018	DES	Low Stability	GO	GO:0048598	embryonic morphogenesis	biological_process	0.0149122143823473	1.21912988492236	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00019	DES	Low Stability	GO	GO:0009887	animal organ morphogenesis	biological_process	0.0149456203978372	1.16027036508696	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00020	DES	Low Stability	GO	GO:0048736	appendage development	biological_process	0.0149456203978372	1.26902205642857	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00021	DES	Low Stability	GO	GO:0050920	regulation of chemotaxis	biological_process	0.0149456203978372	1.49113628481127	45	mapped	H13	Broad regulatory and signaling processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00022	DES	Low Stability	GO	GO:0061564	axon development	biological_process	0.0149456203978372	1.25472491805878	45	mapped	H09;H10	Development and morphogenesis; Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00023	DES	Low Stability	GO	GO:0098609	cell-cell adhesion	biological_process	0.0149456203978372	1.44542622471349	45	mapped	H08	Cell adhesion and extracellular organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00024	DES	Low Stability	GO	GO:0007409	axonogenesis	biological_process	0.0159019094089265	1.26571156410745	45	mapped	H10	Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00025	DES	Low Stability	GO	GO:0006928	obsolete movement of cell or subcellular component	biological_process	0.0172975692541249	1.15962261029141	45	obsolete			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00026	DES	Low Stability	GO	GO:0044421	obsolete extracellular region part	cellular_component	0.0172975692541249	1.21384718440993	45	obsolete	H08	Cell adhesion and extracellular organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00027	DES	Low Stability	GO	GO:0048667	cell morphogenesis involved in neuron differentiation	biological_process	0.0289203035608759	1.22023939519258	45	mapped	H09;H10	Development and morphogenesis; Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00028	DES	Low Stability	GO	GO:0070161	anchoring junction	cellular_component	0.0289203035608759	1.41195830206073	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00029	DES	Low Stability	GO	GO:0031012	extracellular matrix	cellular_component	0.030977616664592	1.38033978067669	45	mapped	H08	Cell adhesion and extracellular organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00030	DES	Low Stability	GO	GO:0051674	localization of cell	biological_process	0.0360599244143804	1.19045303867403	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00031	DES	Low Stability	GO	GO:0030219	megakaryocyte differentiation	biological_process	0.0400561166516712	2.56563154886645	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00032	DES	Low Stability	GO	GO:0035107	appendage morphogenesis	biological_process	0.0400561166516712	1.25693764641872	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00033	DES	Low Stability	GO	GO:0035855	megakaryocyte development	biological_process	0.0400561166516712	2.56563154886645	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00034	DES	Low Stability	GO	GO:0048546	digestive tract morphogenesis	biological_process	0.0420859515898926	1.44184252332991	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00035	DES	Low Stability	GO	GO:0007155	cell adhesion	biological_process	0.0421315033934876	1.28281577443323	45	mapped	H08	Cell adhesion and extracellular organization	CANDIDATE_MAPPING_AVAILABLE
