theme_id	candidate_theme	source	term_id	official_term_name	condition	FSF_region	adjusted_p	enrichment_measure	mapping_basis	historical_theme_relation	evidence_status	author_decision	author_notes
C05	Cytoskeleton and cell motility	GO	GO:0048870	cell motility	DES	Low Stability	0.0421315033934876	1.18733110513884	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
H06	Energy and core metabolism	GO	GO:0060541	respiratory system development	DES	Low Stability	0.0101218735540943	1.29397069421091	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H08	Cell adhesion and extracellular organization	GO	GO:0007156	homophilic cell-cell adhesion	DES	Low Stability	0.00756541905991628	1.81103403449397	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H08	Cell adhesion and extracellular organization	GO	GO:0098609	cell-cell adhesion	DES	Low Stability	0.0149456203978372	1.44542622471349	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H08	Cell adhesion and extracellular organization	GO	GO:0044421	obsolete extracellular region part	DES	Low Stability	0.0172975692541249	1.21384718440993	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	REQUIRES_AUTHOR_REVIEW		
H08	Cell adhesion and extracellular organization	GO	GO:0031012	extracellular matrix	DES	Low Stability	0.030977616664592	1.38033978067669	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H08	Cell adhesion and extracellular organization	GO	GO:0007155	cell adhesion	DES	Low Stability	0.0421315033934876	1.28281577443323	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0035239	tube morphogenesis	DES	Low Stability	0.00277334537030011	1.23405377131149	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0002009	morphogenesis of an epithelium	DES	Low Stability	0.00448751610300904	1.21627201668165	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0000904	obsolete cell morphogenesis involved in differentiation	DES	Low Stability	0.00870758959557905	1.2302226143406	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	REQUIRES_AUTHOR_REVIEW		
H09	Development and morphogenesis	GO	GO:0001501	skeletal system development	DES	Low Stability	0.00870758959557905	1.34770528831506	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0060541	respiratory system development	DES	Low Stability	0.0101218735540943	1.29397069421091	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0048729	tissue morphogenesis	DES	Low Stability	0.011618134931756	1.1942858630718	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0060562	epithelial tube morphogenesis	DES	Low Stability	0.0117377871619887	1.23169787829832	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0048598	embryonic morphogenesis	DES	Low Stability	0.0149122143823473	1.21912988492236	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
