condition	FSF_region	candidate_theme	GO_term_count_raw	GO_redundancy_group_count	KEGG_term_count	strongest_GO_adjusted_p	strongest_KEGG_adjusted_p	GO_support	KEGG_support	cross_source_support	evidence_status	historical_relation	author_decision	author_notes
DES	Low Stability	Broad regulatory and signaling processes	3	2	0	0.00424042062331471		GO:0050920: regulation of chemotaxis; GO:1902667: regulation of axon guidance; GO:2000243: positive regulation of reproductive process		NO	GO_SUPPORTED	HISTORICAL_CANDIDATE		
DES	Low Stability	Cell adhesion and extracellular organization	5	3	0	0.00756541905991628		GO:0007155: cell adhesion; GO:0007156: homophilic cell-cell adhesion; GO:0031012: extracellular matrix; GO:0044421: obsolete extracellular region part; GO:0098609: cell-cell adhesion		NO	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Low Stability	Cell cycle and division	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Chromosome and nuclear organization	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Cytoskeleton and cell motility	1	1	0	0.0421315033934876		GO:0048870: cell motility		NO	GO_SUPPORTED	NEW_CURRENT_CANDIDATE		
DES	Low Stability	Development and morphogenesis	21	7	0	0.00277334537030011		GO:0000904: obsolete cell morphogenesis involved in differentiation; GO:0001501: skeletal system development; GO:0002009: morphogenesis of an epithelium; GO:0007424: open tracheal system development; GO:0009887: animal organ morphogenesis; GO:0030219: megakaryocyte differentiation; GO:0035107: appendage morphogenesis; GO:0035239: tube morphogenesis; GO:0035272: exocrine system development; GO:0035855: megakaryocyte development; GO:0048546: digestive tract morphogenesis; GO:0048598: embryonic morphogenesis; GO:0048667: cell morphogenesis involved in neuron differentiation; GO:0048729: tissue morphogenesis; GO:0048736: appendage development; GO:0048858: cell projection morphogenesis; GO:0055123: digestive system development; GO:0060541: respiratory system development; GO:0060562: epithelial tube morphogenesis; GO:0061564: axon development; GO:0072359: circulatory system development		NO	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Low Stability	DNA repair and genome maintenance	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Endocrine and physiological regulation	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Energy and core metabolism	1	1	0	0.0101218735540943		GO:0060541: respiratory system development		NO	GO_SUPPORTED	HISTORICAL_CANDIDATE		
DES	Low Stability	Immune and defense processes	0	0	0					NO	NO_CURRENT_SUPPORT	NEW_CURRENT_CANDIDATE		
DES	Low Stability	Membrane transport and ion homeostasis	0	0	0					NO	NO_CURRENT_SUPPORT	NEW_CURRENT_CANDIDATE		
DES	Low Stability	Metabolism and redox processes	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Neural, projection and behavior processes	9	6	0	0.00277334537030011		GO:0007409: axonogenesis; GO:0007411: axon guidance; GO:0008038: neuron recognition; GO:0008045: motor neuron axon guidance; GO:0048667: cell morphogenesis involved in neuron differentiation; GO:0048858: cell projection morphogenesis; GO:0061564: axon development; GO:0097485: neuron projection guidance; GO:1902667: regulation of axon guidance		NO	GO_SUPPORTED	HISTORICAL_CANDIDATE		
DES	Low Stability	Protein turnover and proteostasis	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	RNA processing and expression	0	0	0					NO	NO_CURRENT_SUPPORT	NEW_CURRENT_CANDIDATE		
DES	Low Stability	Stress response and signaling	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
