redundancy_group_id	representative_term_id	representative_term_name	member_term_ids	member_count	condition	FSF_region	selection_basis
GR_DES_Highly_Stable_0001	GO:0000028	ribosomal small subunit assembly	GO:0000027;GO:0000028	2	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0002	GO:0070180	large ribosomal subunit rRNA binding	GO:0000049;GO:0003729;GO:0019843;GO:0070180	4	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0003	GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	GO:0000275	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0004	GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0005	GO:0022626	cytosolic ribosome	GO:0000228;GO:0000777;GO:0000793;GO:0000794;GO:0005694;GO:0005730;GO:0005840;GO:0016604;GO:0022626;GO:0030016;GO:0033391;GO:0035770;GO:0036464;GO:0043186;GO:0043292	15	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0006	GO:0043231	intracellular membrane-bounded organelle	GO:0000781;GO:0000784;GO:0000785;GO:0000792;GO:0001650;GO:0005576;GO:0005622;GO:0005634;GO:0005654;GO:0005657;GO:0005737;GO:0005777;GO:0005829;GO:0012505;GO:0030017;GO:0030018;GO:0031410;GO:0031672;GO:0031674;GO:0031974;GO:0031981;GO:0031984;GO:0042579;GO:0043195;GO:0043209;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043233;GO:0051233;GO:0060293;GO:0070013;GO:0097708;GO:0098687;GO:0098793;GO:1990023	37	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0007	GO:0001709	cell fate determination	GO:0001709	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0008	GO:0001751	compound eye photoreceptor cell differentiation	GO:0001751;GO:0001754;GO:0046530	3	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0009	GO:0003678	DNA helicase activity	GO:0003678	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0010	GO:0009039	urease activity	GO:0004099;GO:0009039	2	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0011	GO:0008237	metallopeptidase activity	GO:0004222;GO:0004252;GO:0008237	3	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0012	GO:0004364	glutathione transferase activity	GO:0004027;GO:0004062;GO:0004364;GO:0008146;GO:0016765;GO:0016782	6	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0013	GO:0004563	beta-N-acetylhexosaminidase activity	GO:0004563	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0014	GO:0004568	chitinase activity	GO:0004568	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0015	GO:0004602	glutathione peroxidase activity	GO:0004602	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0016	GO:0004734	pyrimidodiazepine synthase activity	GO:0004734;GO:0016648	2	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0017	GO:0004843	cysteine-type deubiquitinase activity	GO:0004843	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0018	GO:0030414	peptidase inhibitor activity	GO:0004866;GO:0004867;GO:0004869;GO:0030414;GO:0061134;GO:0061135	6	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0019	GO:0005319	lipid carrier activity	GO:0005319	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0020	GO:0005324	long-chain fatty acid transmembrane transporter activity	GO:0005324	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0021	GO:0005506	iron ion binding	GO:0005506;GO:0005507	2	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0022	GO:0005509	calcium ion binding	GO:0005509	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0023	GO:0005615	obsolete extracellular space	GO:0005615	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0024	GO:0005623	obsolete cell	GO:0005623	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0025	GO:0005740	mitochondrial envelope	GO:0005740	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0026	GO:0005743	mitochondrial inner membrane	GO:0005743;GO:0019866;GO:0031966	3	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0027	GO:0005746	obsolete mitochondrial respirasome	GO:0005746	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0028	GO:0005747	obsolete mitochondrial respiratory chain complex I	GO:0005747	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_DES_Highly_Stable_0029	GO:0005750	obsolete mitochondrial respiratory chain complex III	GO:0005750	1	DES	Highly Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
