gene_set_id	query_size	status	result_rows
DES__Highly_Stable	8218	TESTED	18101
DES__Highly_Stable__constant__Highly_Stable_Constant	6489	TESTED	17212
DES__Highly_Stable__down	1110	TESTED	7219
DES__Highly_Stable__down__Highly_Stable_Down	1110	TESTED	7219
DES__Highly_Stable__up	619	TESTED	6591
DES__Highly_Stable__up__Highly_Stable_Up	619	TESTED	6591
DES__Low_Stability	5249	TESTED	16421
DES__Low_Stability__tied__Low_Stability	5249	TESTED	16421
GAM__Highly_Stable	5201	TESTED	15886
GAM__Highly_Stable__constant__Highly_Stable_Constant	4841	TESTED	15566
GAM__Highly_Stable__down	318	TESTED	4260
GAM__Highly_Stable__down__Highly_Stable_Down	318	TESTED	4260
GAM__Highly_Stable__up	42	TESTED	2220
GAM__Highly_Stable__up__Highly_Stable_Up	42	TESTED	2220
GAM__Low_Stability	952	TESTED	8842
GAM__Low_Stability__constant__Low_Stability	63	TESTED	1016
GAM__Low_Stability__down__Low_Stability	33	TESTED	1011
GAM__Low_Stability__tied__Low_Stability	842	TESTED	8693
GAM__Low_Stability__up__Low_Stability	14	TESTED	206
GAM__Stable	5449	TESTED	16612
GAM__Stable__constant__Stable_Constant	3319	TESTED	13877
GAM__Stable__down	1189	TESTED	7901
GAM__Stable__down__Stable_Down	1189	TESTED	7901
GAM__Stable__up	941	TESTED	10584
GAM__Stable__up__Stable_Up	941	TESTED	10584
GAM__Transitional	1865	TESTED	11649
GAM__Transitional__constant__Transitional_Constant	1009	TESTED	9118
GAM__Transitional__down__Transitional_Down	536	TESTED	5811
GAM__Transitional__up__Transitional_Up	320	TESTED	6374
HT__Highly_Stable	13467	TESTED	20502
HT__Highly_Stable__constant__Highly_Stable_Constant	8918	TESTED	18281
HT__Highly_Stable__down	2344	TESTED	12011
HT__Highly_Stable__down__Highly_Stable_Down	2344	TESTED	12011
HT__Highly_Stable__up	2205	TESTED	13085
HT__Highly_Stable__up__Highly_Stable_Up	2205	TESTED	13085
LT__Highly_Stable	12351	TESTED	20175
LT__Highly_Stable__constant__Highly_Stable_Constant	12236	TESTED	20137
LT__Highly_Stable__down	75	TESTED	2038
LT__Highly_Stable__down__Highly_Stable_Down	75	TESTED	2038
LT__Highly_Stable__up	40	TESTED	1224
LT__Highly_Stable__up__Highly_Stable_Up	40	TESTED	1224
LT__Low_Stability	1116	TESTED	9599
LT__Low_Stability__tied__Low_Stability	1116	TESTED	9599
OSM__Highly_Stable	13467	TESTED	20502
OSM__Highly_Stable__constant__Highly_Stable_Constant	13078	TESTED	20458
OSM__Highly_Stable__down	213	TESTED	3764
OSM__Highly_Stable__down__Highly_Stable_Down	213	TESTED	3764
OSM__Highly_Stable__up	176	TESTED	2738
OSM__Highly_Stable__up__Highly_Stable_Up	176	TESTED	2738
UV__Highly_Stable	2152	TESTED	12296
UV__Highly_Stable__constant__Highly_Stable_Constant	1917	TESTED	11701
UV__Highly_Stable__down	108	TESTED	2726
UV__Highly_Stable__down__Highly_Stable_Down	108	TESTED	2726
UV__Highly_Stable__up	127	TESTED	3310
UV__Highly_Stable__up__Highly_Stable_Up	127	TESTED	3310
UV__Low_Stability	2554	TESTED	12622
UV__Low_Stability__constant__Low_Stability	1021	TESTED	8845
UV__Low_Stability__down__Low_Stability	331	TESTED	4808
UV__Low_Stability__tied__Low_Stability	887	TESTED	8689
UV__Low_Stability__up__Low_Stability	315	TESTED	4419
UV__Stable	2823	TESTED	13664
UV__Stable__constant__Stable_Constant	2332	TESTED	12700
UV__Stable__down	209	TESTED	4444
UV__Stable__down__Stable_Down	209	TESTED	4444
UV__Stable__up	282	TESTED	4605
UV__Stable__up__Stable_Up	282	TESTED	4605
UV__Transitional	5938	TESTED	16669
UV__Transitional__constant__Transitional_Constant	4325	TESTED	15304
UV__Transitional__down__Transitional_Down	728	TESTED	8527
UV__Transitional__up__Transitional_Up	885	TESTED	7699
