gene_set_id	enrichment_type	query_size	status	result_rows
DES__Highly_Stable	KO	4413	TESTED	4125
DES__Highly_Stable	PATHWAY	2879	TESTED	756
DES__Highly_Stable__constant__Highly_Stable_Constant	KO	3581	TESTED	3550
DES__Highly_Stable__constant__Highly_Stable_Constant	PATHWAY	2251	TESTED	750
DES__Highly_Stable__down	KO	550	TESTED	622
DES__Highly_Stable__down	PATHWAY	445	TESTED	634
DES__Highly_Stable__down__Highly_Stable_Down	KO	550	TESTED	622
DES__Highly_Stable__down__Highly_Stable_Down	PATHWAY	445	TESTED	634
DES__Highly_Stable__up	KO	282	TESTED	351
DES__Highly_Stable__up	PATHWAY	183	TESTED	496
DES__Highly_Stable__up__Highly_Stable_Up	KO	282	TESTED	351
DES__Highly_Stable__up__Highly_Stable_Up	PATHWAY	183	TESTED	496
DES__Low_Stability	KO	2765	TESTED	2796
DES__Low_Stability	PATHWAY	1801	TESTED	762
DES__Low_Stability__tied__Low_Stability	KO	2765	TESTED	2796
DES__Low_Stability__tied__Low_Stability	PATHWAY	1801	TESTED	762
GAM__Highly_Stable	KO	2711	TESTED	2764
GAM__Highly_Stable	PATHWAY	1756	TESTED	748
GAM__Highly_Stable__constant__Highly_Stable_Constant	KO	2544	TESTED	2611
GAM__Highly_Stable__constant__Highly_Stable_Constant	PATHWAY	1627	TESTED	734
GAM__Highly_Stable__down	KO	141	TESTED	204
GAM__Highly_Stable__down	PATHWAY	108	TESTED	478
GAM__Highly_Stable__down__Highly_Stable_Down	KO	141	TESTED	204
GAM__Highly_Stable__down__Highly_Stable_Down	PATHWAY	108	TESTED	478
GAM__Highly_Stable__up	KO	26	TESTED	35
GAM__Highly_Stable__up	PATHWAY	21	TESTED	140
GAM__Highly_Stable__up__Highly_Stable_Up	KO	26	TESTED	35
GAM__Highly_Stable__up__Highly_Stable_Up	PATHWAY	21	TESTED	140
GAM__Low_Stability	KO	470	TESTED	596
GAM__Low_Stability	PATHWAY	310	TESTED	632
GAM__Low_Stability__constant__Low_Stability	KO	23	TESTED	48
GAM__Low_Stability__constant__Low_Stability	PATHWAY	16	TESTED	168
GAM__Low_Stability__down__Low_Stability	KO	9	TESTED	14
GAM__Low_Stability__down__Low_Stability	PATHWAY	6	TESTED	54
GAM__Low_Stability__tied__Low_Stability	KO	434	TESTED	554
GAM__Low_Stability__tied__Low_Stability	PATHWAY	288	TESTED	620
GAM__Low_Stability__up__Low_Stability	KO	4	SKIPPED_QUERY_SIZE_LT_5	0
