figure_id	panel	source_authority	generation_script	output_png	output_pdf	numerical_status	interpretation_status	notes
Figure1	complete	figures/new/Figure_1.png (locked AI-only asset)	AI-only locked asset; copied without regeneration	results/current_fsf_v1/manuscript/figures/main/Figure1.png	results/current_fsf_v1/manuscript/figures/main/Figure1.pdf	locked AI-only asset	AI-only locked	Authoritative AI-generated Figure 1 copied unchanged from figures/new/Figure_1.png
Figure2	complete	source_data/figure2_simplex_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/main/Figure2.png	results/current_fsf_v1/manuscript/figures/main/Figure2.pdf	frozen current authority	not applicable	Historical simplex geometry paired with current observed distributions; obsolete boundaries removed
Figure3	complete	source_data/figure3_architecture_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/main/Figure3.png	results/current_fsf_v1/manuscript/figures/main/Figure3.pdf	frozen current authority	not applicable	Historical composition-plus-heatmap design; locked architecture counts and current terminology
Figure4	complete	source_data/figure4_ssi_ecdf_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/main/Figure4.png	results/current_fsf_v1/manuscript/figures/main/Figure4.pdf	frozen current authority	not applicable	Historical clean ECDF styling; SSI unchanged and current boundaries applied
Figure5	complete	source_data/figure5_go_source.tsv; source_data/figure5_kegg_source.tsv; figures/biological_theme_prototypes/Figure5C_DES_biological_themes_barplot_AUDIT.png	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/main/Figure5.png	results/current_fsf_v1/manuscript/figures/main/Figure5.pdf	frozen current authority	author-reviewed DES panel	GO/KEGG evidence panels plus authoritative audited DES biological-theme panel
Figure6	complete	source_data/figure6_baseline_source.tsv; source_data/figure6_noise_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/main/Figure6.png	results/current_fsf_v1/manuscript/figures/main/Figure6.pdf	frozen current authority	not applicable	Historical multi-panel validation narrative; obsolete truth/class display labels removed
Figure7	complete	figures/new/Figure_7.png (locked AI-only asset)	AI-only locked asset; copied without regeneration	results/current_fsf_v1/manuscript/figures/main/Figure7.png	results/current_fsf_v1/manuscript/figures/main/Figure7.pdf	locked AI-only asset	AI-only locked	Authoritative AI-generated Figure 7 copied unchanged from figures/new/Figure_7.png
FigureS1	complete	governed frozen annotation master joined to current_fsf_feature_metrics.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/supplementary/FigureS1.png	results/current_fsf_v1/manuscript/figures/supplementary/FigureS1.pdf	frozen current authority	not applicable	All 15,187 unique analyzed features; source-count categories are mutually exclusive, resource categories overlap, and both panels use a common 0–100% scale
FigureS2	complete	source_data/figureS2_tau_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/supplementary/FigureS2.png	results/current_fsf_v1/manuscript/figures/supplementary/FigureS2.pdf	frozen current authority	not applicable	Mean Signal Stratification Index (SSI) across tau = 0.25, 0.50, 0.75, and 1.00 for five distinct synthetic generator scenarios; Stability Deviation = 1 - SSI and is not plotted as an independent endpoint
FigureS3	complete	source_data/figureS3_architecture_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/supplementary/FigureS3.png	results/current_fsf_v1/manuscript/figures/supplementary/FigureS3.pdf	frozen current authority	not applicable	Historical stacked composition design with locked current counts
FigureS4	complete	source_data/figureS4_ssi_distribution_source.tsv	scripts/current/figures/build_current_manuscript_figures.R	results/current_fsf_v1/manuscript/figures/supplementary/FigureS4.png	results/current_fsf_v1/manuscript/figures/supplementary/FigureS4.pdf	frozen current authority	not applicable	Historical discrete distribution concept with current memberships and frequency encoding
