gene_set_id	condition	stability_region	dominant_state	signal_class	region_or_class	historical_profile	historical_GO_theme	historical_KEGG_theme	historical_GO_significant_count	historical_KEGG_significant_count	current_GO_evidence_summary	current_KEGG_evidence_summary	architecture_context	current_GO_significant_count	current_KEGG_significant_count	GO_evidence_change	KEGG_evidence_change	theme_evidence_change	historical_profile_status	review_status	author_decision	author_notes
DES__Highly_Stable__constant__Highly_Stable_Constant	DES	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	213	18	GO significant terms=213; top IDs=GO:0043231;GO:0043227;GO:0005634;GO:0044424;GO:0005622; minimum adjusted p=2.274341e-13	KEGG significant terms=18; top IDs=ko04138;map04138;ko00970;map00970;ko04140; minimum adjusted p=4.861369e-06	DES/Highly Stable/constant	213	18	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
DES__Highly_Stable__down__Highly_Stable_Down	DES	Highly Stable	down	Highly Stable Down	Highly Stable Down	Translation / protein targeting	Translation / ribosome	Translation / ribosome	322	58	GO significant terms=322; top IDs=GO:0022626;GO:0002181;GO:0003735;GO:0044391;GO:0072599; minimum adjusted p=1.037965e-53	KEGG significant terms=58; top IDs=K04097;K01016;K01025;K00799;K13963; minimum adjusted p=1.862297e-46	DES/Highly Stable/down	322	58	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
DES__Highly_Stable__up__Highly_Stable_Up	DES	Highly Stable	up	Highly Stable Up	Highly Stable Up	Cell cycle / division	Broad regulatory / cellular process	Cell cycle regulation	171	27	GO significant terms=171; top IDs=GO:0008061;GO:0051276;GO:0006259;GO:0005694;GO:0044427; minimum adjusted p=6.427832e-09	KEGG significant terms=27; top IDs=K01427;K18753;K07763;K11275;K09640; minimum adjusted p=4.01372e-07	DES/Highly Stable/up	171	27	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
DES__Low_Stability__tied__Low_Stability	DES	Low Stability	tied	Low Stability	Low Stability	Cell adhesion / extracellular interaction	Development / morphogenesis	Cell adhesion / extracellular interaction	45	2	GO significant terms=45; top IDs=GO:0007411;GO:0035239;GO:0097485;GO:0040011;GO:0008038; minimum adjusted p=2.773345e-03	KEGG significant terms=2; top IDs=ko04512;map04512; minimum adjusted p=4.431237e-02	DES/Low Stability/tied	45	2	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_BUT_LABEL_UPDATE	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Highly_Stable__constant__Highly_Stable_Constant	GAM	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Energy metabolism / redox regulation	Broad regulatory / cellular process	Energy / core metabolism	2	22	GO significant terms=2; top IDs=GO:0009063;GO:0006733; minimum adjusted p=2.937492e-03	KEGG significant terms=22; top IDs=ko01200;map01200;ko01130;map01130;ko01120; minimum adjusted p=9.066322e-08	GAM/Highly Stable/constant	2	22	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Highly_Stable__down__Highly_Stable_Down	GAM	Highly Stable	down	Highly Stable Down	Highly Stable Down	Broad cellular regulation	Broad regulatory / cellular process	Broad proliferation / regulatory pathway	5	110	GO significant terms=5; top IDs=GO:0005615;GO:0005576;GO:0005775;GO:0019730;GO:0043202; minimum adjusted p=1.659251e-03	KEGG significant terms=110; top IDs=K04362;K05093;K05096;K05098;K00474; minimum adjusted p=6.171206e-04	GAM/Highly Stable/down	5	110	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Highly_Stable__up__Highly_Stable_Up	GAM	Highly Stable	up	Highly Stable Up	Highly Stable Up	Genome maintenance / nuclear regulation	Genome maintenance / DNA repair	Genome maintenance / DNA repair	29	35	GO significant terms=29; top IDs=GO:0006281;GO:0003910;GO:0003909;GO:0140097;GO:0006302; minimum adjusted p=9.136944e-04	KEGG significant terms=35; top IDs=K10798;K01946;K04494;K05641;K05645; minimum adjusted p=4.386592e-03	GAM/Highly Stable/up	29	35	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Low_Stability__constant__Low_Stability	GAM	Low Stability	constant	Low Stability	Low Stability	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	4	50	GO significant terms=4; top IDs=GO:0005576;GO:0008061;GO:0008237;GO:0004222; minimum adjusted p=2.265686e-03	KEGG significant terms=50; top IDs=K09057;K08076;K03211;K04819;K09428; minimum adjusted p=7.016893e-03	GAM/Low Stability/constant	4	50	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_BUT_LABEL_UPDATE	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Stable__down__Stable_Down	GAM	Stable	down	Stable Down	Stable Down	Translation / protein targeting	Translation / ribosome	Translation / ribosome	185	17	GO significant terms=185; top IDs=GO:0022626;GO:0003735;GO:0002181;GO:0044391;GO:0005840; minimum adjusted p=5.890725e-43	KEGG significant terms=17; top IDs=K04565;ko03010;map03010;ko00190;map00190; minimum adjusted p=4.842536e-41	GAM/Stable/down	185	17	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Stable__up__Stable_Up	GAM	Stable	up	Stable Up	Stable Up	Broad cellular regulation	Broad regulatory / cellular process	Broad proliferation / regulatory pathway	2981	49	GO significant terms=2981; top IDs=GO:0050789;GO:0065007;GO:0050794;GO:0005488;GO:0016043; minimum adjusted p=9.594153e-71	KEGG significant terms=49; top IDs=K05665;K05666;K05667;K05032;K18408; minimum adjusted p=8.924221e-07	GAM/Stable/up	2981	49	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
