gene_set_id	gene_set_family	condition	stability_region	dominant_state	signal_class	enrichment_type	kegg_term	query_size	background_size	query_overlap_count	background_term_count	query_fraction	background_fraction	enrichment_ratio	p_value	adjusted_p_value	significant	contributing_feature_ids	all_feature_count	annotated_feature_count	review_rank	contributing_feature_count	term_description	review_status
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko04138	2251	4680	54	66	0.02398933807196801	0.0141025641025641	1.7010621541940956	1.2963650150745084e-8	4.861368806529406e-6	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	7439	6489	1	54	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map04138	2251	4680	54	66	0.02398933807196801	0.0141025641025641	1.7010621541940956	1.2963650150745084e-8	4.861368806529406e-6	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	7439	6489	2	54	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko00970	2251	4680	43	55	0.01910262105730786	0.01175213675213675	1.6254593917854692	4.2365528478638745e-6	7.943536589744765e-4	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09533-1;RvY_09572-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	7439	6489	3	43	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map00970	2251	4680	43	55	0.01910262105730786	0.01175213675213675	1.6254593917854692	4.2365528478638745e-6	7.943536589744765e-4	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09533-1;RvY_09572-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	7439	6489	4	43	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko04140	2251	4680	66	98	0.0293203020879609	0.02094017094017094	1.4001940180781332	7.935049377210368e-5	0.00991881172151296	TRUE	RvY_00935-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02575;RvY_02576-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04467-1;RvY_04468-1;RvY_05064-1;RvY_05196-1;RvY_05218-1;RvY_05311-1;RvY_05401;RvY_05495-1;RvY_06399-1;RvY_06690-1;RvY_06713-1;RvY_06974-1;RvY_07198;RvY_07367-1;RvY_07847;RvY_08096;RvY_08517-1;RvY_08795-1;RvY_09006;RvY_09057-1;RvY_09373-1;RvY_09779;RvY_10021-1;RvY_10199-1;RvY_10580-1;RvY_10668-1;RvY_11034;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13128-1;RvY_13166-1;RvY_13183-1;RvY_13219-1;RvY_13359-1;RvY_13597-1;RvY_13793-1;RvY_13983-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15373-1;RvY_15521-1;RvY_16009-1;RvY_16019-1;RvY_16150-1;RvY_17006-1;RvY_17014-1;RvY_17043-1;RvY_17592;RvY_17746;RvY_18224-1;RvY_18523-1;RvY_18533-1;RvY_18534-1;RvY_19326-1	7439	6489	5	66	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map04140	2251	4680	66	98	0.0293203020879609	0.02094017094017094	1.4001940180781332	7.935049377210368e-5	0.00991881172151296	TRUE	RvY_00935-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02575;RvY_02576-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04467-1;RvY_04468-1;RvY_05064-1;RvY_05196-1;RvY_05218-1;RvY_05311-1;RvY_05401;RvY_05495-1;RvY_06399-1;RvY_06690-1;RvY_06713-1;RvY_06974-1;RvY_07198;RvY_07367-1;RvY_07847;RvY_08096;RvY_08517-1;RvY_08795-1;RvY_09006;RvY_09057-1;RvY_09373-1;RvY_09779;RvY_10021-1;RvY_10199-1;RvY_10580-1;RvY_10668-1;RvY_11034;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13128-1;RvY_13166-1;RvY_13183-1;RvY_13219-1;RvY_13359-1;RvY_13597-1;RvY_13793-1;RvY_13983-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15373-1;RvY_15521-1;RvY_16009-1;RvY_16019-1;RvY_16150-1;RvY_17006-1;RvY_17014-1;RvY_17043-1;RvY_17592;RvY_17746;RvY_18224-1;RvY_18523-1;RvY_18533-1;RvY_18534-1;RvY_19326-1	7439	6489	6	66	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko05169	2251	4680	77	119	0.03420701910262105	0.02542735042735042	1.3452844487417357	1.6191578291251547e-4	0.01517960464804832	TRUE	RvY_00361-1;RvY_00630-1;RvY_01065-1;RvY_01123-1;RvY_01154-1;RvY_01480-1;RvY_01614-1;RvY_01666-1;RvY_02480-1;RvY_02777;RvY_03404-1;RvY_03505-1;RvY_04191;RvY_04239-1;RvY_04340-1;RvY_04900-1;RvY_05193-1;RvY_05419-1;RvY_05848-1;RvY_06213-1;RvY_06962-1;RvY_06980-1;RvY_07071-1;RvY_07198;RvY_07631-1;RvY_07774-1;RvY_07968-1;RvY_08096;RvY_08464-1;RvY_08849-1;RvY_08913-1;RvY_08967-1;RvY_09033-1;RvY_09049-1;RvY_09050-1;RvY_09158-1;RvY_09176-1;RvY_09182;RvY_09534-1;RvY_09676-1;RvY_09779;RvY_09993-1;RvY_10047-1;RvY_10352-1;RvY_10598-1;RvY_10726-1;RvY_11018-1;RvY_11113-1;RvY_11377-1;RvY_11730;RvY_11859-1;RvY_12676-1;RvY_12682-1;RvY_12820-1;RvY_12838-1;RvY_12981-1;RvY_12994-1;RvY_13219-1;RvY_13359-1;RvY_13496-1;RvY_13582-1;RvY_13672-1;RvY_14256-1;RvY_14333-1;RvY_14715-1;RvY_15165;RvY_15239;RvY_15652-1;RvY_15653-1;RvY_15822-1;RvY_15927-1;RvY_16659-1;RvY_17952;RvY_17954-1;RvY_18076-1;RvY_18486;RvY_18852-1	7439	6489	7	77	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map05169	2251	4680	77	119	0.03420701910262105	0.02542735042735042	1.3452844487417357	1.6191578291251547e-4	0.01517960464804832	TRUE	RvY_00361-1;RvY_00630-1;RvY_01065-1;RvY_01123-1;RvY_01154-1;RvY_01480-1;RvY_01614-1;RvY_01666-1;RvY_02480-1;RvY_02777;RvY_03404-1;RvY_03505-1;RvY_04191;RvY_04239-1;RvY_04340-1;RvY_04900-1;RvY_05193-1;RvY_05419-1;RvY_05848-1;RvY_06213-1;RvY_06962-1;RvY_06980-1;RvY_07071-1;RvY_07198;RvY_07631-1;RvY_07774-1;RvY_07968-1;RvY_08096;RvY_08464-1;RvY_08849-1;RvY_08913-1;RvY_08967-1;RvY_09033-1;RvY_09049-1;RvY_09050-1;RvY_09158-1;RvY_09176-1;RvY_09182;RvY_09534-1;RvY_09676-1;RvY_09779;RvY_09993-1;RvY_10047-1;RvY_10352-1;RvY_10598-1;RvY_10726-1;RvY_11018-1;RvY_11113-1;RvY_11377-1;RvY_11730;RvY_11859-1;RvY_12676-1;RvY_12682-1;RvY_12820-1;RvY_12838-1;RvY_12981-1;RvY_12994-1;RvY_13219-1;RvY_13359-1;RvY_13496-1;RvY_13582-1;RvY_13672-1;RvY_14256-1;RvY_14333-1;RvY_14715-1;RvY_15165;RvY_15239;RvY_15652-1;RvY_15653-1;RvY_15822-1;RvY_15927-1;RvY_16659-1;RvY_17952;RvY_17954-1;RvY_18076-1;RvY_18486;RvY_18852-1	7439	6489	8	77	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko03050	2251	4680	30	39	0.01332741003998223	0.00833333333333333	1.5992892047978675	2.1501239962590376e-4	0.01612592997194278	TRUE	RvY_00787-1;RvY_03404-1;RvY_04239-1;RvY_04340-1;RvY_04900-1;RvY_05362-1;RvY_05419-1;RvY_05713-1;RvY_06844-1;RvY_07071-1;RvY_07559-1;RvY_07631-1;RvY_09676-1;RvY_09800-1;RvY_09993-1;RvY_12838-1;RvY_12913-1;RvY_13071-1;RvY_13501-1;RvY_14571-1;RvY_14715-1;RvY_15165;RvY_15652-1;RvY_15653-1;RvY_15699-1;RvY_15822-1;RvY_17952;RvY_18076-1;RvY_18368-1;RvY_18486	7439	6489	9	30	NA	REQUIRES_AUTHOR_REVIEW
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map03050	2251	4680	30	39	0.01332741003998223	0.00833333333333333	1.5992892047978675	2.1501239962590376e-4	0.01612592997194278	TRUE	RvY_00787-1;RvY_03404-1;RvY_04239-1;RvY_04340-1;RvY_04900-1;RvY_05362-1;RvY_05419-1;RvY_05713-1;RvY_06844-1;RvY_07071-1;RvY_07559-1;RvY_07631-1;RvY_09676-1;RvY_09800-1;RvY_09993-1;RvY_12838-1;RvY_12913-1;RvY_13071-1;RvY_13501-1;RvY_14571-1;RvY_14715-1;RvY_15165;RvY_15652-1;RvY_15653-1;RvY_15699-1;RvY_15822-1;RvY_17952;RvY_18076-1;RvY_18368-1;RvY_18486	7439	6489	10	30	NA	REQUIRES_AUTHOR_REVIEW
