historical_rule_id	source_script	rule_type	historical_label	mapping_or_rule	historical_target	manual_or_deterministic	current_review_status
GO_01	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Translation / ribosome	GO:0022626;GO:0022625;GO:0022627;GO:0005840;GO:0003735;GO:0002181;GO:0006412;GO:0043043	Translation / ribosome	manual	REQUIRES_AUTHOR_REVIEW
GO_02	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Protein targeting / secretion	GO:0006612;GO:0006613;GO:0006614;GO:0045047;GO:0072599;GO:0070972	Protein targeting / secretion	manual	REQUIRES_AUTHOR_REVIEW
GO_03	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Genome maintenance / DNA repair	GO:0006259;GO:0006260;GO:0006271;GO:0006273;GO:0006281;GO:0006974;GO:0000723;GO:0000724;GO:0000725;GO:0000726	Genome maintenance / DNA repair	manual	REQUIRES_AUTHOR_REVIEW
GO_04	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Chromosome / nuclear organization	GO:0005694;GO:0051276;GO:0000228;GO:0044427;GO:0044454;GO:0098813;GO:0005634;GO:0005654	Chromosome / nuclear organization	manual	REQUIRES_AUTHOR_REVIEW
GO_05	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Cell cycle / cell division	GO:0007049;GO:0022402;GO:0000278;GO:0000280;GO:0048285;GO:0140013;GO:0051321;GO:1903046;GO:1903047;GO:0000070;GO:0000075;GO:0000077	Cell cycle / cell division	manual	REQUIRES_AUTHOR_REVIEW
GO_06	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Development / morphogenesis	GO:0035239;GO:0048729;GO:0060562;GO:0009887;GO:0048598;GO:0060541;GO:0001501;GO:0002009	Development / morphogenesis	manual	REQUIRES_AUTHOR_REVIEW
GO_07	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Neural / projection organization	GO:0007411;GO:0097485;GO:0031175;GO:0048812;GO:0061564	Neural / projection organization	manual	REQUIRES_AUTHOR_REVIEW
GO_08	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Movement / behavior / taxis	GO:0040011;GO:0006935;GO:0050920;GO:0007610;GO:0008045;GO:0008038	Movement / behavior / taxis	manual	REQUIRES_AUTHOR_REVIEW
GO_09	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Cell adhesion / junction	GO:0007155;GO:0007156;GO:0098609;GO:0005912;GO:0098742	Cell adhesion / junction	manual	REQUIRES_AUTHOR_REVIEW
GO_10	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Metabolism / oxidation-reduction	GO:0016491;GO:0055114;GO:0044281;GO:0006082;GO:0019752;GO:0043436;GO:0071704;GO:0044238	Metabolism / oxidation-reduction	manual	REQUIRES_AUTHOR_REVIEW
