gene_set_id	condition	stability_region	dominant_state	signal_class	region_or_class	current_GO_evidence_summary	current_KEGG_evidence_summary	architecture_context	current_GO_significant_count	current_KEGG_significant_count	review_status	author_decision	author_notes
UV__Highly_Stable__down__Highly_Stable_Down	UV	Highly Stable	down	Highly Stable Down	Highly Stable Down	GO significant terms=2; top IDs=GO:0008061;GO:0004252; minimum adjusted p=1.904649e-06	KEGG significant terms=74; top IDs=K05096;K05098;K04362;K05093;K01324; minimum adjusted p=1.324878e-02	UV/Highly Stable/down	2	74	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__constant__Stable_Constant	UV	Stable	constant	Stable Constant	Stable Constant	GO significant terms=180; top IDs=GO:0043231;GO:0043227;GO:0043229;GO:0043226;GO:0044446; minimum adjusted p=9.630071e-17	KEGG significant terms=2; top IDs=ko04144;map04144; minimum adjusted p=3.661008e-02	UV/Stable/constant	180	2	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__down__Stable_Down	UV	Stable	down	Stable Down	Stable Down	GO significant terms=2; top IDs=GO:0005576;GO:0008061; minimum adjusted p=1.390989e-04	KEGG significant terms=78; top IDs=K00469;K01104;K01341;K03518;K03791; minimum adjusted p=4.077892e-02	UV/Stable/down	2	78	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__constant__Transitional_Constant	UV	Transitional	constant	Transitional Constant	Transitional Constant	GO significant terms=26; top IDs=GO:0002181;GO:0022626;GO:0003735;GO:0044391;GO:0005840; minimum adjusted p=2.854254e-14	KEGG significant terms=2; top IDs=ko03010;map03010; minimum adjusted p=1.879253e-14	UV/Transitional/constant	26	2	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__down__Transitional_Down	UV	Transitional	down	Transitional Down	Transitional Down	GO significant terms=334; top IDs=GO:0005576;GO:0042335;GO:0022603;GO:0040003;GO:0044421; minimum adjusted p=3.344955e-05	KEGG significant terms=1; top IDs=K19511; minimum adjusted p=4.80055e-02	UV/Transitional/down	334	1	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Highly_Stable__up__Highly_Stable_Up	UV	Highly Stable	up	Highly Stable Up	Highly Stable Up	GO significant terms=0	KEGG significant terms=63; top IDs=K03102;K14411;K05349;K00235;K01489; minimum adjusted p=2.499923e-02	UV/Highly Stable/up	0	63	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__up__Transitional_Up	UV	Transitional	up	Transitional Up	Transitional Up	GO significant terms=0	KEGG significant terms=8; top IDs=ko00980;map00980;ko05204;map05204;ko00982; minimum adjusted p=3.795324e-03	UV/Transitional/up	0	8	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__constant__Low_Stability	UV	Low Stability	constant	Low Stability	Low Stability	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/constant	0	0	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Highly_Stable__constant__Highly_Stable_Constant	UV	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	GO significant terms=34; top IDs=GO:0005829;GO:0044444;GO:0044446;GO:0008565;GO:0030120; minimum adjusted p=1.69503e-07	KEGG significant terms=0	UV/Highly Stable/constant	34	0	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__down__Low_Stability	UV	Low Stability	down	Low Stability	Low Stability	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/down	0	0	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__up__Low_Stability	UV	Low Stability	up	Low Stability	Low Stability	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/up	0	0	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__tied__Low_Stability	UV	Low Stability	tied	Low Stability	Low Stability	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/tied	0	0	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__up__Stable_Up	UV	Stable	up	Stable Up	Stable Up	GO significant terms=0	KEGG significant terms=0	UV/Stable/up	0	0	REQUIRES_AUTHOR_REVIEW	NA	NA
