go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0000001	GO:0000001	mitochondrion inheritance	biological_process	current		releases/2026-07-26	mapped
GO:0000002	GO:0000002	obsolete mitochondrial genome maintenance	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0000003	GO:0000003	obsolete reproduction	biological_process	obsolete	replaced_by:GO:0022414	releases/2026-07-26	obsolete
GO:0000018	GO:0000018	regulation of DNA recombination	biological_process	current		releases/2026-07-26	mapped
GO:0000019	GO:0000019	regulation of mitotic recombination	biological_process	current		releases/2026-07-26	mapped
GO:0000022	GO:0000022	mitotic spindle elongation	biological_process	current		releases/2026-07-26	mapped
GO:0000027	GO:0000027	ribosomal large subunit assembly	biological_process	current		releases/2026-07-26	mapped
GO:0000028	GO:0000028	ribosomal small subunit assembly	biological_process	current		releases/2026-07-26	mapped
GO:0000049	GO:0000049	tRNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000055	GO:0000055	ribosomal large subunit export from nucleus	biological_process	current		releases/2026-07-26	mapped
GO:0000062	GO:0000062	fatty-acyl-CoA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000070	GO:0000070	mitotic sister chromatid segregation	biological_process	current		releases/2026-07-26	mapped
GO:0000075	GO:0000075	cell cycle checkpoint signaling	biological_process	current		releases/2026-07-26	mapped
GO:0000076	GO:0000076	DNA replication checkpoint signaling	biological_process	current		releases/2026-07-26	mapped
GO:0000077	GO:0000077	DNA damage checkpoint signaling	biological_process	current		releases/2026-07-26	mapped
GO:0000082	GO:0000082	G1/S transition of mitotic cell cycle	biological_process	current		releases/2026-07-26	mapped
GO:0000086	GO:0000086	G2/M transition of mitotic cell cycle	biological_process	current		releases/2026-07-26	mapped
GO:0000118	GO:0000118	histone deacetylase complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000122	GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	current		releases/2026-07-26	mapped
GO:0000123	GO:0000123	histone acetyltransferase complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000132	GO:0000132	establishment of mitotic spindle orientation	biological_process	current		releases/2026-07-26	mapped
GO:0000151	GO:0000151	ubiquitin ligase complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000165	GO:0000165	MAPK cascade	biological_process	current		releases/2026-07-26	mapped
GO:0000166	GO:0000166	nucleotide binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000182	GO:0000182	rDNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000184	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	current		releases/2026-07-26	mapped
GO:0000209	GO:0000209	protein polyubiquitination	biological_process	current		releases/2026-07-26	mapped
GO:0000212	GO:0000212	meiotic spindle organization	biological_process	current		releases/2026-07-26	mapped
GO:0000217	GO:0000217	DNA secondary structure binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000221	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	current		releases/2026-07-26	mapped
GO:0000226	GO:0000226	microtubule cytoskeleton organization	biological_process	current		releases/2026-07-26	mapped
GO:0000228	GO:0000228	nuclear chromosome	cellular_component	current		releases/2026-07-26	mapped
GO:0000235	GO:0000235	astral microtubule	cellular_component	current		releases/2026-07-26	mapped
GO:0000245	GO:0000245	spliceosomal complex assembly	biological_process	current		releases/2026-07-26	mapped
GO:0000275	GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0000276	GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0000278	GO:0000278	mitotic cell cycle	biological_process	current		releases/2026-07-26	mapped
GO:0000280	GO:0000280	nuclear division	biological_process	current		releases/2026-07-26	mapped
GO:0000281	GO:0000281	mitotic cytokinesis	biological_process	current		releases/2026-07-26	mapped
GO:0000287	GO:0000287	magnesium ion binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000288	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	current		releases/2026-07-26	mapped
GO:0000289	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	current		releases/2026-07-26	mapped
GO:0000291	GO:0000291	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	obsolete	replaced_by:GO:0000956	releases/2026-07-26	obsolete
GO:0000303	GO:0000303	response to superoxide	biological_process	current		releases/2026-07-26	mapped
GO:0000305	GO:0000305	response to oxygen radical	biological_process	current		releases/2026-07-26	mapped
GO:0000323	GO:0000323	lytic vacuole	cellular_component	current		releases/2026-07-26	mapped
GO:0000335	GO:0000335	obsolete negative regulation of transposition, DNA-mediated	biological_process	obsolete	consider:GO:0006313	releases/2026-07-26	obsolete
GO:0000337	GO:0000337	obsolete regulation of transposition, DNA-mediated	biological_process	obsolete	consider:GO:0006313	releases/2026-07-26	obsolete
GO:0000347	GO:0000347	THO complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000375	GO:0000375	RNA splicing, via transesterification reactions	biological_process	current		releases/2026-07-26	mapped
GO:0000377	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	biological_process	current		releases/2026-07-26	mapped
GO:0000381	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	current		releases/2026-07-26	mapped
GO:0000398	GO:0000398	mRNA splicing, via spliceosome	biological_process	current		releases/2026-07-26	mapped
GO:0000400	GO:0000400	four-way junction DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000405	GO:0000405	bubble DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000428	GO:0000428	DNA-directed RNA polymerase complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000445	GO:0000445	THO complex part of transcription export complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000578	GO:0000578	embryonic axis specification	biological_process	current		releases/2026-07-26	mapped
GO:0000712	GO:0000712	resolution of meiotic recombination intermediates	biological_process	current		releases/2026-07-26	mapped
GO:0000715	GO:0000715	nucleotide-excision repair, DNA damage recognition	biological_process	current		releases/2026-07-26	mapped
GO:0000722	GO:0000722	telomere maintenance via recombination	biological_process	current		releases/2026-07-26	mapped
GO:0000723	GO:0000723	telomere maintenance	biological_process	current		releases/2026-07-26	mapped
GO:0000724	GO:0000724	double-strand break repair via homologous recombination	biological_process	current		releases/2026-07-26	mapped
GO:0000725	GO:0000725	recombinational repair	biological_process	current		releases/2026-07-26	mapped
GO:0000726	GO:0000726	obsolete non-recombinational repair	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0000727	GO:0000727	double-strand break repair via break-induced replication	biological_process	current		releases/2026-07-26	mapped
GO:0000731	GO:0000731	DNA synthesis involved in DNA repair	biological_process	current		releases/2026-07-26	mapped
GO:0000732	GO:0000732	DNA strand displacement	biological_process	current		releases/2026-07-26	mapped
GO:0000733	GO:0000733	obsolete DNA strand renaturation	biological_process	obsolete	consider:GO:0036310	releases/2026-07-26	obsolete
GO:0000775	GO:0000775	chromosome, centromeric region	cellular_component	current		releases/2026-07-26	mapped
GO:0000776	GO:0000776	kinetochore	cellular_component	current		releases/2026-07-26	mapped
GO:0000777	GO:0000776	kinetochore	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000779	GO:0000779	condensed chromosome, centromeric region	cellular_component	current		releases/2026-07-26	mapped
GO:0000780	GO:0000779	condensed chromosome, centromeric region	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000781	GO:0000781	chromosome, telomeric region	cellular_component	current		releases/2026-07-26	mapped
GO:0000784	GO:0000781	chromosome, telomeric region	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000785	GO:0000785	chromatin	cellular_component	current		releases/2026-07-26	mapped
GO:0000786	GO:0000786	nucleosome	cellular_component	current		releases/2026-07-26	mapped
GO:0000790	GO:0000785	chromatin	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000791	GO:0000791	euchromatin	cellular_component	current		releases/2026-07-26	mapped
GO:0000792	GO:0000792	heterochromatin	cellular_component	current		releases/2026-07-26	mapped
GO:0000793	GO:0000793	condensed chromosome	cellular_component	current		releases/2026-07-26	mapped
GO:0000794	GO:0000794	condensed nuclear chromosome	cellular_component	current		releases/2026-07-26	mapped
GO:0000795	GO:0000795	synaptonemal complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000796	GO:0000796	condensin complex	cellular_component	current		releases/2026-07-26	mapped
GO:0000798	GO:0008278	cohesin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000799	GO:0000796	condensin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000800	GO:0000800	lateral element	cellular_component	current		releases/2026-07-26	mapped
GO:0000819	GO:0000819	sister chromatid segregation	biological_process	current		releases/2026-07-26	mapped
GO:0000902	GO:0000902	cell morphogenesis	biological_process	current		releases/2026-07-26	mapped
GO:0000904	GO:0000904	obsolete cell morphogenesis involved in differentiation	biological_process	obsolete	replaced_by:GO:0000902	releases/2026-07-26	obsolete
GO:0000910	GO:0000910	cytokinesis	biological_process	current		releases/2026-07-26	mapped
GO:0000916	GO:0000916	actomyosin contractile ring contraction	biological_process	current		releases/2026-07-26	mapped
GO:0000922	GO:0000922	spindle pole	cellular_component	current		releases/2026-07-26	mapped
GO:0000932	GO:0000932	P-body	cellular_component	current		releases/2026-07-26	mapped
GO:0000956	GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:0000976	GO:0000976	transcription cis-regulatory region binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000977	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000978	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000979	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000981	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	current		releases/2026-07-26	mapped
GO:0000987	GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0000988	GO:0000988	obsolete transcription factor activity, protein binding	molecular_function	obsolete	consider:GO:0005515;GO:0140110	releases/2026-07-26	obsolete
GO:0000989	GO:0000989	obsolete transcription factor activity, transcription factor binding	molecular_function	obsolete	consider:GO:0008134;GO:0140110	releases/2026-07-26	obsolete
GO:0001012	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001018	GO:0001018	mitochondrial promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0001030	GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001031	GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001046	GO:0001046	core promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	mapped
GO:0001047	GO:0001046	core promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001055	GO:0001055	obsolete RNA polymerase II activity	molecular_function	obsolete	replaced_by:GO:0003899	releases/2026-07-26	obsolete
GO:0001067	GO:0001067	transcription regulatory region nucleic acid binding	molecular_function	current		releases/2026-07-26	mapped
GO:0001076	GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding	molecular_function	obsolete	consider:GO:0061629;GO:0140110	releases/2026-07-26	obsolete
GO:0001078	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001101	GO:0001101	response to acid chemical	biological_process	current		releases/2026-07-26	mapped
GO:0001102	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001135	GO:0001135	obsolete RNA polymerase II transcription regulator recruiting activity	molecular_function	obsolete	replaced_by:GO:0003712	releases/2026-07-26	obsolete
GO:0001227	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	molecular_function	current		releases/2026-07-26	mapped
GO:0001228	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	molecular_function	current		releases/2026-07-26	mapped
GO:0001306	GO:0001306	obsolete age-dependent response to oxidative stress	biological_process	obsolete	consider:GO:0034599	releases/2026-07-26	obsolete
GO:0001501	GO:0001501	skeletal system development	biological_process	current		releases/2026-07-26	mapped
GO:0001503	GO:0001503	ossification	biological_process	current		releases/2026-07-26	mapped
GO:0001505	GO:0001505	obsolete regulation of neurotransmitter levels	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0001516	GO:0001516	prostaglandin biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:0001556	GO:0001556	oocyte maturation	biological_process	current		releases/2026-07-26	mapped
GO:0001558	GO:0001558	regulation of cell growth	biological_process	current		releases/2026-07-26	mapped
GO:0001568	GO:0001568	blood vessel development	biological_process	current		releases/2026-07-26	mapped
GO:0001570	GO:0001570	vasculogenesis	biological_process	current		releases/2026-07-26	mapped
GO:0001573	GO:0001573	ganglioside metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:0001650	GO:0001650	fibrillar center	cellular_component	current		releases/2026-07-26	mapped
GO:0001654	GO:0001654	eye development	biological_process	current		releases/2026-07-26	mapped
GO:0001655	GO:0001655	urogenital system development	biological_process	current		releases/2026-07-26	mapped
GO:0001656	GO:0001656	metanephros development	biological_process	current		releases/2026-07-26	mapped
