go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0000002	GO:0000002	obsolete mitochondrial genome maintenance	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0000003	GO:0000003	obsolete reproduction	biological_process	obsolete	replaced_by:GO:0022414	releases/2026-07-26	obsolete
GO:0000275	GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0000276	GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	obsolete	replaced_by:GO:0045259	releases/2026-07-26	obsolete
GO:0000291	GO:0000291	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	obsolete	replaced_by:GO:0000956	releases/2026-07-26	obsolete
GO:0000335	GO:0000335	obsolete negative regulation of transposition, DNA-mediated	biological_process	obsolete	consider:GO:0006313	releases/2026-07-26	obsolete
GO:0000337	GO:0000337	obsolete regulation of transposition, DNA-mediated	biological_process	obsolete	consider:GO:0006313	releases/2026-07-26	obsolete
GO:0000726	GO:0000726	obsolete non-recombinational repair	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0000733	GO:0000733	obsolete DNA strand renaturation	biological_process	obsolete	consider:GO:0036310	releases/2026-07-26	obsolete
GO:0000777	GO:0000776	kinetochore	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000780	GO:0000779	condensed chromosome, centromeric region	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000784	GO:0000781	chromosome, telomeric region	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000790	GO:0000785	chromatin	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000798	GO:0008278	cohesin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000799	GO:0000796	condensin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0000904	GO:0000904	obsolete cell morphogenesis involved in differentiation	biological_process	obsolete	replaced_by:GO:0000902	releases/2026-07-26	obsolete
GO:0000988	GO:0000988	obsolete transcription factor activity, protein binding	molecular_function	obsolete	consider:GO:0005515;GO:0140110	releases/2026-07-26	obsolete
GO:0000989	GO:0000989	obsolete transcription factor activity, transcription factor binding	molecular_function	obsolete	consider:GO:0008134;GO:0140110	releases/2026-07-26	obsolete
GO:0001012	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001030	GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0001031	GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	molecular_function	current		releases/2026-07-26	alternate_id
