kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K00002	KO	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	KEGG KO 2026-09-18	mapped
K00058	KO	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	KEGG KO 2026-09-18	mapped
K00227	KO	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]	KEGG KO 2026-09-18	mapped
K00235	KO	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	KEGG KO 2026-09-18	mapped
K00310	KO	SE	pyrimidodiazepine synthase [EC:1.5.4.1]	KEGG KO 2026-09-18	mapped
K00344	KO	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]	KEGG KO 2026-09-18	mapped
K00452	KO	HAAO	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	KEGG KO 2026-09-18	mapped
K00469	KO	MIOX	inositol oxygenase [EC:1.13.99.1]	KEGG KO 2026-09-18	mapped
K00471	KO	BBOX1	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	KEGG KO 2026-09-18	mapped
K00474	KO	TMLHE	trimethyllysine dioxygenase [EC:1.14.11.8]	KEGG KO 2026-09-18	mapped
K00485	KO	FMO	dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-]	KEGG KO 2026-09-18	mapped
K00490	KO	CYP4F	cytochrome P450 family 4 subfamily F [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K00500	KO	phhA, PAH	phenylalanine-4-hydroxylase [EC:1.14.16.1]	KEGG KO 2026-09-18	mapped
K00503	KO	DBH	dopamine beta-monooxygenase [EC:1.14.17.1]	KEGG KO 2026-09-18	mapped
K00512	KO	CYP17A	steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]	KEGG KO 2026-09-18	mapped
K00541	KO	NNMT	nicotinamide N-methyltransferase [EC:2.1.1.1]	KEGG KO 2026-09-18	mapped
K00562	KO	INMT, TEMT	methyltransferase [EC:2.1.1.49 2.1.1.96]	KEGG KO 2026-09-18	mapped
K00665	KO	FASN	fatty acid synthase, animal type [EC:2.3.1.85]	KEGG KO 2026-09-18	mapped
K00735	KO	B3GAT1	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]	KEGG KO 2026-09-18	mapped
K00799	KO	GST, gst	glutathione S-transferase [EC:2.5.1.18]	KEGG KO 2026-09-18	mapped
K00819	KO	rocD, OAT	ornithine--oxo-acid transaminase [EC:2.6.1.13]	KEGG KO 2026-09-18	mapped
K00831	KO	serC, PSAT1	phosphoserine aminotransferase [EC:2.6.1.52]	KEGG KO 2026-09-18	mapped
K00901	KO	dgkA, DGK	diacylglycerol kinase (ATP) [EC:2.7.1.107]	KEGG KO 2026-09-18	mapped
K01014	KO	SULT1A	aryl sulfotransferase [EC:2.8.2.1]	KEGG KO 2026-09-18	mapped
K01016	KO	SULT1E1, STE	estrone sulfotransferase [EC:2.8.2.4]	KEGG KO 2026-09-18	mapped
K01025	KO	SULT1	sulfotransferase [EC:2.8.2.-]	KEGG KO 2026-09-18	mapped
K01028	KO	scoA	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	KEGG KO 2026-09-18	mapped
K01048	KO	pldB	lysophospholipase [EC:3.1.1.5]	KEGG KO 2026-09-18	mapped
K01074	KO	PPT	palmitoyl-protein thioesterase [EC:3.1.2.22]	KEGG KO 2026-09-18	mapped
K01077	KO	ALP, phoA, phoB	alkaline phosphatase [EC:3.1.3.1]	KEGG KO 2026-09-18	mapped
K01104	KO	E3.1.3.48	protein-tyrosine phosphatase [EC:3.1.3.48]	KEGG KO 2026-09-18	mapped
K01166	KO	RNASET2	ribonuclease T2 [EC:4.6.1.19]	KEGG KO 2026-09-18	mapped
K01183	KO	E3.2.1.14	chitinase [EC:3.2.1.14]	KEGG KO 2026-09-18	mapped
K01291	KO	CPB1	carboxypeptidase B [EC:3.4.17.2]	KEGG KO 2026-09-18	mapped
K01296	KO	CPM	carboxypeptidase M [EC:3.4.17.12]	KEGG KO 2026-09-18	mapped
K01298	KO	CPA2	carboxypeptidase A2 [EC:3.4.17.15]	KEGG KO 2026-09-18	mapped
K01300	KO	CPB2	carboxypeptidase B2 [EC:3.4.17.20]	KEGG KO 2026-09-18	mapped
K01312	KO	PRSS1_2_3	trypsin [EC:3.4.21.4]	KEGG KO 2026-09-18	mapped
