condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
DES	atp6	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	atp8	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	cob	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	cox1	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	cox2	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	cox3	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad1	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad2	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad3	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad4	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad4L	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	nad5	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	nad6	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	RvY_00001-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00005	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00006-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00008-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00009-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00010-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00011-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00012-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00020-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00021-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00022-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00023	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00024-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00025-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00026-1	1	0	0	1	up	Highly Stable	Highly Stable Up
DES	RvY_00030-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00031-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00033-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00034-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00035-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00037-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00039	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00042-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00044-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00045-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00046-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00047-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00049-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00056-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00060-1	1	0	0	1	up	Highly Stable	Highly Stable Up
DES	RvY_00061-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00062	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00063-1	1	0	0	1	up	Highly Stable	Highly Stable Up
DES	RvY_00064-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00066	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00067-1	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	RvY_00068-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00070-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00071-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00072-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00073-1	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	RvY_00074	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00075-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00076-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00077-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00078-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00081	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00082-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00083-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00086	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00087-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00090-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00093-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00094-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00095-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00096-1	1	0	0	1	up	Highly Stable	Highly Stable Up
DES	RvY_00097-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00098-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00099-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00102-1	1	0	0	1	up	Highly Stable	Highly Stable Up
DES	RvY_00104-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00111-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00112-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00117-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00118-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
DES	RvY_00120-2	0	1	0	1	down	Highly Stable	Highly Stable Down
DES	RvY_00121-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
DES	RvY_00122-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
