condition	stability_region	region_count	region_proportion
DES	Low Stability	5837	0.384341871337328
DES	Transitional	0	0
DES	Stable	0	0
DES	Highly Stable	9350	0.615658128662672
GAM	Low Stability	1085	0.07144268124053467
GAM	Transitional	2106	0.1386712319747152
GAM	Stable	6127	0.4034371501942451
GAM	Highly Stable	5869	0.38644893659050505
HT	Low Stability	0	0
HT	Transitional	0	0
HT	Stable	0	0
HT	Highly Stable	15187	1
LT	Low Stability	1211	0.07973925067491934
LT	Transitional	0	0
LT	Stable	0	0
LT	Highly Stable	13976	0.9202607493250806
OSM	Low Stability	0	0
OSM	Transitional	0	0
OSM	Stable	0	0
OSM	Highly Stable	15187	1
UV	Low Stability	2948	0.19411338644893658
UV	Transitional	6697	0.4409692500164614
UV	Stable	3151	0.20748008164877857
UV	Highly Stable	2391	0.1574372818858234
