condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_00005	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00009-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00020-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00021-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00023	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00031-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00033-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00034-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00035-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00037-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00039	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00042-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00045-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00047-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00056-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00062	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00064-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00068-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00072-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00075-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00076-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00078-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00090-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00094-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00098-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00099-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00104-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00111-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00117-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00121-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00122-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00126-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00127-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00129-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00130-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00131-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00141-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00149-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00169-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00173-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00174-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00179-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00184-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00186-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00187-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00191	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00192	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00198	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00201-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00203-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00206	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00209	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00210-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00211	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00224-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00229-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00230-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00231-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00234-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00237-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00242-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00248	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00249	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00252	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00254	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00257	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00259-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00264-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00271	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00272-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00281-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00285-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00286-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00287-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00290-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00292-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00295	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00298-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00300-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00301-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00307-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00312-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00313-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00315-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00317-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00319-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00320	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00327-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00328-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00330	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00331-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00341-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00342-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00358-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00361-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00362-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00365-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00368-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00370-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00371-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00372-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00376-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
