condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_00067-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00073-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00120-2	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00133-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00166-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00170-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00188-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00196-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00244	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00245-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00261-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00262	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00265-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00288-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00304-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00321-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00334-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00337-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00338-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00339-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00340-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00345-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00405	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00408-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00409-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00418-3	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00419-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00438-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00442-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
DES	RvY_00443-1	2	0	2	0	0	1	0	down	1	Highly Stable	Highly Stable Down	0
