condition	stability_region	dominant_state	signal_class	n_features	eggnog_annotated	interpro_annotated	pfam_annotated	at_least_one_annotation	at_least_two_annotation_layers	all_three_annotation_layers	unannotated	mean_annotation_source_count	mean_ssi	median_ssi	mean_stability_deviation	eggnog_fraction	interpro_fraction	pfam_fraction	annotated_fraction	unannotated_fraction
DES	Highly Stable	constant	Highly Stable Constant	7439	4846	6003	5725	6489	5451	4634	950	2.227987632746337	1	1	0	0.6514316440381772	0.8069633015190214	0.7695926871891383	0.872294663261191	0.127705336738809
DES	Highly Stable	down	Highly Stable Down	1233	716	1008	950	1110	869	695	123	2.1686942416869424	1	1	0	0.5806974858069749	0.8175182481751825	0.7704785077047851	0.9002433090024331	0.09975669099756691
DES	Highly Stable	up	Highly Stable Up	678	396	585	533	619	507	388	59	2.2330383480825957	1	1	0	0.584070796460177	0.8628318584070797	0.7861356932153393	0.9129793510324484	0.08702064896755163
GAM	Highly Stable	constant	Highly Stable Constant	5447	3557	4482	4217	4841	4040	3375	606	2.2500458968239396	1	1	0	0.6530200110152378	0.8228382595924362	0.7741876262162658	0.8887460987699651	0.11125390123003488
GAM	Highly Stable	down	Highly Stable Down	377	189	274	267	318	233	179	59	1.936339522546419	1	1	0	0.5013262599469496	0.726790450928382	0.7082228116710876	0.843501326259947	0.15649867374005305
GAM	Highly Stable	up	Highly Stable Up	45	38	42	40	42	40	38	3	2.6666666666666665	1	1	0	0.8444444444444444	0.9333333333333333	0.8888888888888888	0.9333333333333333	0.06666666666666667
GAM	Stable	constant	Stable Constant	3720	2399	3093	2939	3319	2807	2305	401	2.2663978494623658	0.8260080645161291	0.875	0.17399193548387096	0.6448924731182796	0.8314516129032258	0.7900537634408602	0.8922043010752688	0.10779569892473118
GAM	Stable	down	Stable Down	1378	809	1060	1036	1189	939	777	189	2.1081277213352685	0.7980769230769231	0.75	0.20192307692307693	0.5870827285921626	0.7692307692307693	0.7518142235123367	0.862844702467344	0.137155297532656
GAM	Stable	up	Stable Up	1029	812	918	883	941	873	799	88	2.5393586005830904	0.8097667638483965	0.75	0.1902332361516035	0.7891156462585034	0.892128279883382	0.858114674441205	0.9144800777453839	0.08551992225461613
HT	Highly Stable	constant	Highly Stable Constant	10233	6406	8230	7775	8918	7386	6107	1315	2.1900713378285936	1	1	0	0.6260138766735073	0.8042607251050523	0.7597967360500342	0.8714941854783543	0.12850581452164567
HT	Highly Stable	down	Highly Stable Down	2564	1687	2168	2068	2344	1942	1637	220	2.3100624024961	1	1	0	0.6579563182527302	0.8455538221528861	0.8065522620904836	0.9141965678627145	0.08580343213728549
HT	Highly Stable	up	Highly Stable Up	2390	1718	2082	1991	2205	1925	1661	185	2.4230125523012553	1	1	0	0.7188284518828452	0.8711297071129707	0.8330543933054393	0.9225941422594143	0.07740585774058577
LT	Highly Stable	constant	Highly Stable Constant	13850	8923	11315	10751	12236	10214	8539	1614	2.237472924187726	1	1	0	0.6442599277978339	0.8169675090252707	0.776245487364621	0.8834657039711191	0.11653429602888087
LT	Highly Stable	down	Highly Stable Down	84	51	72	65	75	62	51	9	2.238095238095238	1	1	0	0.6071428571428571	0.8571428571428571	0.7738095238095238	0.8928571428571429	0.10714285714285714
LT	Highly Stable	up	Highly Stable Up	42	26	40	32	40	32	26	2	2.3333333333333335	1	1	0	0.6190476190476191	0.9523809523809523	0.7619047619047619	0.9523809523809523	0.047619047619047616
OSM	Highly Stable	constant	Highly Stable Constant	14746	9561	12116	11507	13078	10946	9160	1668	2.25037298250373	1	1	0	0.6483792214837922	0.8216465482164654	0.7803472128034721	0.8868845788688458	0.1131154211311542
OSM	Highly Stable	down	Highly Stable Down	238	141	201	182	213	172	139	25	2.2016806722689077	1	1	0	0.592436974789916	0.8445378151260504	0.7647058823529411	0.8949579831932774	0.10504201680672269
OSM	Highly Stable	up	Highly Stable Up	203	109	163	145	176	135	106	27	2.0541871921182264	1	1	0	0.5369458128078818	0.8029556650246306	0.7142857142857143	0.8669950738916257	0.1330049261083744
UV	Highly Stable	constant	Highly Stable Constant	2133	1445	1791	1678	1917	1636	1361	216	2.3037974683544302	0.962058803830956	0.928571428571429	0.037941196169044254	0.6774496015002344	0.8396624472573839	0.786685419596812	0.8987341772151899	0.10126582278481013
UV	Highly Stable	down	Highly Stable Down	117	72	101	89	108	83	71	9	2.2393162393162394	0.9523809523809527	0.928571428571429	0.047619047619047596	0.6153846153846154	0.8632478632478633	0.7606837606837606	0.9230769230769231	0.07692307692307693
UV	Highly Stable	up	Highly Stable Up	141	86	113	113	127	103	82	14	2.2127659574468086	0.9488348530901726	0.928571428571429	0.051165146909827736	0.6099290780141844	0.8014184397163121	0.8014184397163121	0.900709219858156	0.09929078014184398
UV	Stable	constant	Stable Constant	2596	1775	2170	2081	2332	1985	1709	264	2.3212634822804312	0.8179616993176316	0.785714285714286	0.18203830068236837	0.6837442218798151	0.8359013867488444	0.801617873651772	0.8983050847457628	0.1016949152542373
UV	Stable	down	Stable Down	238	141	194	178	209	169	135	29	2.1554621848739495	0.8124249699879953	0.785714285714286	0.18757503001200468	0.592436974789916	0.8151260504201681	0.7478991596638656	0.8781512605042017	0.12184873949579832
UV	Stable	up	Stable Up	317	212	262	251	282	239	204	35	2.2870662460567823	0.8156827399729609	0.785714285714286	0.1843172600270391	0.668769716088328	0.8264984227129337	0.7917981072555205	0.889589905362776	0.11041009463722397
