feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
SC_1	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_10	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_100	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_1000	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_101	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_102	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_103	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_104	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_105	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_106	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_107	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_108	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_109	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_11	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_110	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_111	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_112	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_113	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_114	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_115	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_116	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_117	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_118	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_12	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_120	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_121	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_122	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_123	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_124	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_125	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_126	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_127	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_128	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_129	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_13	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_130	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_131	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_132	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_133	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_134	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_135	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_137	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_138	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_139	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_14	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_140	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_141	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_142	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_143	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_144	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_145	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_146	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_147	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_148	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_149	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_15	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_150	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_151	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_152	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_153	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_154	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_155	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_156	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_158	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_159	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_160	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_161	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_163	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_164	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_165	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_166	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_167	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_169	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_17	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_170	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_172	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_173	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_174	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_175	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_177	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_178	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_179	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_18	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_181	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_182	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_183	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_184	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_185	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_186	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_187	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_188	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_189	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
