condition	fsf_signal_class	n_genes	proportion
lt	Highly stable constant	13850	0.911964179890696
lt	Highly stable down	84	0.0055310462895897805
lt	Highly stable up	42	0.0027655231447948903
lt	Instability	1211	0.07973925067491934
ht	Highly stable constant	10233	0.6737999604925266
ht	Highly stable down	2564	0.16882860341081188
ht	Highly stable up	2390	0.15737143609666163
osm	Highly stable constant	14746	0.9709620069796536
osm	Highly stable down	238	0.01567129782050438
osm	Highly stable up	203	0.01336669519984197
des	Highly stable constant	7439	0.4898268255745045
des	Highly stable down	1233	0.08118785803647857
des	Highly stable up	678	0.04464344505168894
des	Instability	5837	0.384341871337328
uv	Highly stable constant	2133	0.14044906828208337
uv	Highly stable down	117	0.0077039573319286235
uv	Highly stable up	141	0.009284256271811418
uv	Instability	5399	0.35550141568446697
uv	Stable constant	2596	0.17093566866398893
uv	Stable down	238	0.01567129782050438
uv	Stable up	317	0.020873115164285243
uv	Transitional constant	3264	0.21492065582406006
uv	Transitional down	419	0.02758938565878712
uv	Transitional up	563	0.03707117929808389
gam	Highly stable constant	5447	0.35866201356423255
gam	Highly stable down	377	0.02482386251399223
gam	Highly stable up	45	0.0029630605122802395
gam	Instability	1085	0.07144268124053467
gam	Stable constant	3720	0.24494633568183316
gam	Stable down	1378	0.09073549746493711
gam	Stable up	1029	0.06775531704747481
gam	Transitional constant	1125	0.07407651280700599
gam	Transitional down	622	0.04095608085862909
gam	Transitional up	359	0.023638638309080133
