condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00005	1	highly_stable	Highly stable
des	RvY_00009-1	1	highly_stable	Highly stable
des	RvY_00020-1	1	highly_stable	Highly stable
des	RvY_00021-1	1	highly_stable	Highly stable
des	RvY_00023	1	highly_stable	Highly stable
des	RvY_00026-1	1	highly_stable	Highly stable
des	RvY_00031-1	1	highly_stable	Highly stable
des	RvY_00033-1	1	highly_stable	Highly stable
des	RvY_00034-1	1	highly_stable	Highly stable
des	RvY_00035-1	1	highly_stable	Highly stable
des	RvY_00037-1	1	highly_stable	Highly stable
des	RvY_00039	1	highly_stable	Highly stable
des	RvY_00042-1	1	highly_stable	Highly stable
des	RvY_00045-1	1	highly_stable	Highly stable
des	RvY_00047-1	1	highly_stable	Highly stable
des	RvY_00056-1	1	highly_stable	Highly stable
des	RvY_00060-1	1	highly_stable	Highly stable
des	RvY_00062	1	highly_stable	Highly stable
des	RvY_00063-1	1	highly_stable	Highly stable
des	RvY_00064-1	1	highly_stable	Highly stable
des	RvY_00067-1	1	highly_stable	Highly stable
des	RvY_00068-1	1	highly_stable	Highly stable
des	RvY_00072-1	1	highly_stable	Highly stable
des	RvY_00073-1	1	highly_stable	Highly stable
des	RvY_00075-1	1	highly_stable	Highly stable
des	RvY_00076-1	1	highly_stable	Highly stable
des	RvY_00078-1	1	highly_stable	Highly stable
des	RvY_00090-1	1	highly_stable	Highly stable
des	RvY_00094-1	1	highly_stable	Highly stable
des	RvY_00096-1	1	highly_stable	Highly stable
des	RvY_00098-1	1	highly_stable	Highly stable
des	RvY_00099-1	1	highly_stable	Highly stable
des	RvY_00102-1	1	highly_stable	Highly stable
des	RvY_00104-1	1	highly_stable	Highly stable
des	RvY_00111-1	1	highly_stable	Highly stable
des	RvY_00117-1	1	highly_stable	Highly stable
des	RvY_00120-2	1	highly_stable	Highly stable
des	RvY_00121-1	1	highly_stable	Highly stable
des	RvY_00122-1	1	highly_stable	Highly stable
des	RvY_00126-1	1	highly_stable	Highly stable
des	RvY_00127-1	1	highly_stable	Highly stable
des	RvY_00129-1	1	highly_stable	Highly stable
des	RvY_00130-1	1	highly_stable	Highly stable
des	RvY_00131-1	1	highly_stable	Highly stable
des	RvY_00133-1	1	highly_stable	Highly stable
des	RvY_00141-1	1	highly_stable	Highly stable
des	RvY_00147	1	highly_stable	Highly stable
des	RvY_00149-1	1	highly_stable	Highly stable
des	RvY_00166-1	1	highly_stable	Highly stable
des	RvY_00169-1	1	highly_stable	Highly stable
des	RvY_00170-1	1	highly_stable	Highly stable
des	RvY_00171-1	1	highly_stable	Highly stable
des	RvY_00173-1	1	highly_stable	Highly stable
des	RvY_00174-1	1	highly_stable	Highly stable
des	RvY_00179-1	1	highly_stable	Highly stable
des	RvY_00184-1	1	highly_stable	Highly stable
des	RvY_00186-1	1	highly_stable	Highly stable
des	RvY_00187-1	1	highly_stable	Highly stable
des	RvY_00188-1	1	highly_stable	Highly stable
des	RvY_00191	1	highly_stable	Highly stable
des	RvY_00192	1	highly_stable	Highly stable
des	RvY_00196-1	1	highly_stable	Highly stable
des	RvY_00198	1	highly_stable	Highly stable
