condition	stability_level	dominant_state	fsf_signal_class	gene_set_id	KEGG_theme	KEGG_theme_secondary	n_KEGG_themes	best_KEGG_FDR	representative_KEGG_terms	n_genes	n_annotated	annotated_fraction	significant_KEGG_terms_FDR005
des	highly_stable	constant	highly_stable_constant	des__highly_stable__constant__highly_stable_constant	Other KEGG / manual review	Other KEGG / manual review	1	4.861368806529406e-6	ko04138;map04138;ko00970;map00970;ko04140;map04140;ko05169;map05169;ko03040;map03040|ko03050;map03050|ko03420;map03420	7439	6489	0.872294663261191	18
des	highly_stable	down	highly_stable_down	des__highly_stable__down__highly_stable_down	Translation / ribosome	Translation / ribosome	1	1.8622970342621425e-46	ko03010;map03010|ko00190;map00190;ko01100;map01100|ko05204;map05204|K04097;K01016;K01025;K00799;K13963;K20526;K04565;K13907;K08752;K08756	1233	1110	0.9002433090024331	58
des	highly_stable	up	highly_stable_up	des__highly_stable__up__highly_stable_up	Cell cycle regulation	Cell cycle regulation	1	4.0137202974821883e-07	ko04110;map04110;ko04111;map04111;ko04113;map04113|ko03030;map03030|K01427;K18753;K07763;K11275;K09640;K07994;K03514;K11423;K12374;K15308|ko04668;map04668	678	619	0.9129793510324484	27
des	instable	mixed	instable	des__instable__mixed__instable	Cell adhesion / extracellular interaction	Cell adhesion / extracellular interaction	1	0.044312372626188	ko04512;map04512	5837	5249	0.8992633201987322	2
gam	highly_stable	constant	highly_stable_constant	gam__highly_stable__constant__highly_stable_constant	Energy / core metabolism	Energy / core metabolism	1	9.066322316571847e-8	ko01200;map01200;ko01120;map01120;ko01110;map01110|ko01130;map01130;ko01230;map01230;ko00640;map00640;ko00280;map00280;ko00010;map00010	5447	4841	0.8887460987699651	22
gam	highly_stable	down	highly_stable_down	gam__highly_stable__down__highly_stable_down	Broad proliferation / regulatory pathway	Broad proliferation / regulatory pathway	1	6.171205930309471e-4	ko05218;map05218;ko05224;map05224;ko05210;map05210;ko05226;map05226;ko05200;map05200|K04362;K05093;K05096;K05098;K00474;K04448;K17349;K00471;K01074;K01317|ko04974;map04974;ko04979;map04979|ko04151;map04151;ko04010;map04010|ko04510;map04510	377	318	0.843501326259947	110
gam	highly_stable	up	highly_stable_up	gam__highly_stable__up__highly_stable_up	Genome maintenance / DNA repair	Genome maintenance / DNA repair	1	0.00438659245280176	K10798;K10747;K10875;K10885;ko03410;map03410|K01946;K04494;K06642;K10380;K10413;K10593;K10691;K13811;K14401;K14437|K05641;K05645;K05643	45	42	0.9333333333333332	35
gam	instable	constant	instable	gam__instable__constant__instable	Other KEGG / manual review	Other KEGG / manual review	1	0.00701689330527231	K09057;K08076;K03211;K04819;K09428;K01325;K03933;K06240;K09062;K09632|ko04711;map04711	70	63	0.9	50
gam	instable	down	instable	gam__instable__down__instable	Other KEGG / manual review	Other KEGG / manual review	1	0.00585121203678077	K09059;K12114;K14462;K05184;K14711;K05090;K05181;K14716;K08409;K14951	40	33	0.825	14
gam	instable	mixed	instable	gam__instable__mixed__instable	No significant KEGG enrichment	NA	0	NA	NA	958	842	0.8789144050104384	0
gam	instable	up	instable	gam__instable__up__instable	No significant KEGG enrichment	NA	0	NA	NA	17	14	0.8235294117647058	0
gam	stable	constant	stable_constant	gam__stable__constant__stable_constant	No significant KEGG enrichment	NA	0	NA	NA	3720	3319	0.8922043010752688	0
gam	stable	down	stable_down	gam__stable__down__stable_down	Translation / ribosome	Translation / ribosome	1	4.842535884814186e-41	ko03010;map03010|ko00190;map00190|K04565;ko05012;map05012;ko05016;map05016;ko05010;map05010;ko04260;map04260;ko05020|ko04932;map04932	1378	1189	0.862844702467344	17
gam	stable	up	stable_up	gam__stable__up__stable_up	Broad proliferation / regulatory pathway	Broad proliferation / regulatory pathway	1	8.924220897396149e-7	ko05206;map05206|ko04111;map04111;ko04110;map04110;ko04113;map04113|K05665;K05666;K05667|ko04013;map04013;ko04630;map04630|K05032;K18408;ko02010;map02010;ko03013;map03013;ko01523;map01523	1029	941	0.914480077745384	49
gam	weakly_stable_transitional	constant	weakly_stable_transitional_constant	gam__weakly_stable_transitional__constant__weakly_stable_transitional_constant	No significant KEGG enrichment	NA	0	NA	NA	1125	1009	0.8968888888888888	0
gam	weakly_stable_transitional	down	weakly_stable_transitional_down	gam__weakly_stable_transitional__down__weakly_stable_transitional_down	Energy / core metabolism	Energy / core metabolism	1	0.0093158131684385	ko00190;map00190	622	536	0.8617363344051447	2
gam	weakly_stable_transitional	up	weakly_stable_transitional_up	gam__weakly_stable_transitional__up__weakly_stable_transitional_up	No significant KEGG enrichment	NA	0	NA	NA	359	320	0.8913649025069638	0
ht	highly_stable	constant	highly_stable_constant	ht__highly_stable__constant__highly_stable_constant	Endocrine / physiological regulation	Endocrine / physiological regulation	1	1.4999599189131506e-4	ko04924;map04924;ko04925;map04925;ko04923;map04923;ko04921;map04921|ko04111;map04111;ko04113;map04113|K12323;ko00230;map00230;ko04270;map04270;ko00515;map00515|ko04022;map04022|ko03030;map03030	10233	8918	0.8714941854783543	23
ht	highly_stable	down	highly_stable_down	ht__highly_stable__down__highly_stable_down	Energy / core metabolism	Energy / core metabolism	1	3.9527175476385035e-17	ko01100;map01100;ko00190;map00190;ko01120;map01120;ko01110;map01110;ko01200;map01200|K00799;K04097;K19919;K01832;K07424;K01362;K14445;ko00980;map00980;ko00590|ko05204;map05204	2564	2344	0.9141965678627144	85
ht	highly_stable	up	highly_stable_up	ht__highly_stable__up__highly_stable_up	Other KEGG / manual review	Other KEGG / manual review	1	0.00185980861794471	ko05168;map05168;ko03013;map03013;ko04214;map04214;ko04391;map04391|ko04010;map04010;ko04657;map04657|ko05222;map05222;ko05218;map05218;ko05200;map05200;ko05215;map05215	2390	2205	0.9225941422594144	20
lt	highly_stable	constant	highly_stable_constant	lt__highly_stable__constant__highly_stable_constant	Translation / ribosome	Translation / ribosome	1	0.01372561809797872	ko03010;map03010	13850	12236	0.8834657039711191	2
lt	highly_stable	down	highly_stable_down	lt__highly_stable__down__highly_stable_down	Other KEGG / manual review	Other KEGG / manual review	1	0.01030927835051565	K03243;K03317;K06669;K06674;K09522;K10358;K10396;K10696;K12478;K12482|K10803;K10866;K10742	84	75	0.8928571428571429	40
