condition	stability_level	dominant_state	fsf_signal_class	gene_set_id	n_genes	n_annotated	annotated_fraction
des	highly_stable	constant	highly_stable_constant	des__highly_stable__constant__highly_stable_constant	7439	6489	0.872294663261191
des	highly_stable	down	highly_stable_down	des__highly_stable__down__highly_stable_down	1233	1110	0.9002433090024331
des	highly_stable	up	highly_stable_up	des__highly_stable__up__highly_stable_up	678	619	0.9129793510324484
des	instable	mixed	instable	des__instable__mixed__instable	5837	5249	0.8992633201987322
gam	highly_stable	constant	highly_stable_constant	gam__highly_stable__constant__highly_stable_constant	5447	4841	0.8887460987699651
gam	highly_stable	down	highly_stable_down	gam__highly_stable__down__highly_stable_down	377	318	0.843501326259947
gam	highly_stable	up	highly_stable_up	gam__highly_stable__up__highly_stable_up	45	42	0.9333333333333333
gam	instable	constant	instable	gam__instable__constant__instable	70	63	0.9
gam	instable	down	instable	gam__instable__down__instable	40	33	0.825
gam	instable	mixed	instable	gam__instable__mixed__instable	958	842	0.8789144050104384
gam	instable	up	instable	gam__instable__up__instable	17	14	0.8235294117647058
gam	stable	constant	stable_constant	gam__stable__constant__stable_constant	3720	3319	0.8922043010752688
gam	stable	down	stable_down	gam__stable__down__stable_down	1378	1189	0.862844702467344
gam	stable	up	stable_up	gam__stable__up__stable_up	1029	941	0.9144800777453839
gam	weakly_stable_transitional	constant	weakly_stable_transitional_constant	gam__weakly_stable_transitional__constant__weakly_stable_transitional_constant	1125	1009	0.8968888888888888
gam	weakly_stable_transitional	down	weakly_stable_transitional_down	gam__weakly_stable_transitional__down__weakly_stable_transitional_down	622	536	0.8617363344051447
gam	weakly_stable_transitional	up	weakly_stable_transitional_up	gam__weakly_stable_transitional__up__weakly_stable_transitional_up	359	320	0.8913649025069638
ht	highly_stable	constant	highly_stable_constant	ht__highly_stable__constant__highly_stable_constant	10233	8918	0.8714941854783543
ht	highly_stable	down	highly_stable_down	ht__highly_stable__down__highly_stable_down	2564	2344	0.9141965678627145
ht	highly_stable	up	highly_stable_up	ht__highly_stable__up__highly_stable_up	2390	2205	0.9225941422594143
lt	highly_stable	constant	highly_stable_constant	lt__highly_stable__constant__highly_stable_constant	13850	12236	0.8834657039711191
lt	highly_stable	down	highly_stable_down	lt__highly_stable__down__highly_stable_down	84	75	0.8928571428571429
lt	highly_stable	up	highly_stable_up	lt__highly_stable__up__highly_stable_up	42	40	0.9523809523809523
lt	instable	mixed	instable	lt__instable__mixed__instable	1211	1116	0.921552436003303
osm	highly_stable	constant	highly_stable_constant	osm__highly_stable__constant__highly_stable_constant	14746	13078	0.8868845788688458
osm	highly_stable	down	highly_stable_down	osm__highly_stable__down__highly_stable_down	238	213	0.8949579831932774
osm	highly_stable	up	highly_stable_up	osm__highly_stable__up__highly_stable_up	203	176	0.8669950738916257
uv	highly_stable	constant	highly_stable_constant	uv__highly_stable__constant__highly_stable_constant	2133	1917	0.8987341772151899
uv	highly_stable	down	highly_stable_down	uv__highly_stable__down__highly_stable_down	117	108	0.9230769230769231
uv	highly_stable	up	highly_stable_up	uv__highly_stable__up__highly_stable_up	141	127	0.900709219858156
uv	instable	constant	instable	uv__instable__constant__instable	2783	2446	0.8789076536112109
uv	instable	down	instable	uv__instable__down__instable	787	676	0.8589580686149937
uv	instable	mixed	instable	uv__instable__mixed__instable	1028	887	0.8628404669260701
uv	instable	up	instable	uv__instable__up__instable	801	696	0.8689138576779026
uv	stable	constant	stable_constant	uv__stable__constant__stable_constant	2596	2332	0.8983050847457628
uv	stable	down	stable_down	uv__stable__down__stable_down	238	209	0.8781512605042017
uv	stable	up	stable_up	uv__stable__up__stable_up	317	282	0.889589905362776
uv	weakly_stable_transitional	constant	weakly_stable_transitional_constant	uv__weakly_stable_transitional__constant__weakly_stable_transitional_constant	3264	2900	0.8884803921568627
uv	weakly_stable_transitional	down	weakly_stable_transitional_down	uv__weakly_stable_transitional__down__weakly_stable_transitional_down	419	383	0.9140811455847255
uv	weakly_stable_transitional	up	weakly_stable_transitional_up	uv__weakly_stable_transitional__up__weakly_stable_transitional_up	563	504	0.8952042628774423
